0,1,2
,Quarter ended31st March 2017,Year ended31st March 2017
Particulars,(Audited),(Audited)
Net profit as per Previous GAAP,3526.72,13431.46
a)Impact on account of measuring investments at fair value through profit and loss,0.54,0.28
b)Impairment of trade receivables due to expected credit loss model,(7.05),(18.58)
c) Items that are not reclassified to Profit & Loss and tax impact,16.81,16.81
d) Impact on account of deferred tax,26.32,26.32
Net profit as per IND AS,3563.34,13456.30
Other comprehensive Income (Net of Tax),(1.360.80),(802.19)
Total Comprehensive Income under IND AS,2202.53,12654.10
