0,1,2,3,4,5
,Quarter ended,Year ended,,,
Description,Mar31,Dec 31,Mar 31,Mar 31,Mar 31
,2018,2017,2017,2018,2017
,Audited,Un-audited,Audited,Audited,Audited
Continuing operations,,,,,
Revenue from operations,432.40,424.42,726.91,"1,941.94","2,35501"
EBIDTA,153.11,(36.47),"180,09",273.69,492.86
Profit/(Loss) Before Tax,93.69,(90.48),101.60,47.83,241.95
Profit/(Loss) After Tax,108.87,(88.24),157.10,81.48,274.00
Discontinued operations,,,,,
Profit/(Loss) After Tax,13.57,5.26,7.23,19.53,9.61
Profit for the period,122.44,"(82,98)",164.33,"101,01",283.61
