0,1
As at 31/03/2018,As at 31/03/2017
Audited,Audited(Refer note 3)
"3,462 07122 5363 9019 7023,944 83218 87G.988 5I345 291,540.80194,If.","3,277 55122 53254 6181 3813.329 51210 582.001 93402 651.841 25106,52"
J6.9tHi.66,"21,628.51"
"9.902 824,060 481,979 9721,078 84128 002,342.02674,006.58","17.729 973.395 28752 5019,506 07268 711,74 0 04540 59456.46"
â€¢III. 172.71,"44,389.62"
,
77.073.37,66.018.13
990 3364.511 79,"990 3353,908 69"
65.502.12133 44,"54,899.0294 65"
65.6J5.56,54.993.67
"218 79536 573.1,0",33 55502 636 84
758.46,543.02
"770 83680 022.526.94101 856,399 71","839 291,109 032,537 92106 155,889 05"
"10,679J5",1 IMMI.44
,
"11.437,81","11,024.46"
,
77.073J7,"66,018.13"
