0,1,2,3,4,5
,,Stand-alone Company Results,,,
,,Quarter ended,,Year ended,
,"March 31,2018","December 31,2017","March 31,2017","March 31,2018","March 31,2017"
,Audited(Refer Note 8),Unaudited,Audited(Refer Note 8),Audited,Audited
PARTI1 Income,,,,,
a) Gross Sales / Income from Operations,419.34,420.46,716.83,"1,916.88","2,336.62"
b) Other Operating Income,13.06,3.96,10.08,25.06,18.39
Revenue from operations,432.40,424.42,726.91,"1,941.94","2,355.01"
Other income,62.76,21.55,28.69,193.73,147.81
Total Income,495.16,445.97,755.00,"2,135.67","2,502.82"
2 Expenses,,,,,
a) Cost of materials consumed,627.32,618.25,591.84,"1,634.78","1,369.52"
b) Purchases of stock-in-trade,1.66,1.85,1.39,9.19,8.49
"c) Changes in inventories of finished goods,",,,,,
work-in-progress and stock-in-traded) Excise Duty on Sales,(421.40),(348.92),(199.71)33.34,(374.94)20.65,52.83106.66
e) Employee benefits expense,31.90,34.28,31.36,"135,10",125.25
1) Finance costs,30.89,25.59,45.14,112.90,139.91
g) Depreciation and amortisation expense,28.53,28.42,33.35,112.96,111.00
h) Other expenses,105.38,86.98,117.29,350.01,347.21
Total expenses,404.28,446.45,654.00,"2,000.65","2,260.87"
3Profit/(loss) before tax from continuing operations and,,,,,
exceptional items (1-2)4 Exceptional item (refer note 4),90.882.81,(0.48)(90.00),101.60,135.02(87.19),241.95
5 Profit/(loss) before tax (3 + 4),93.69,(90.48),101.60,47.83,241.95
6 Tax Expenses,,,,,
Current tax,0.31,,10.63,0.31,24.35
Deferred tax,(15.49),12.24),(66.13),(33.90),[56.40)
Total Tax expense,(15.18),(2.24),(55.50),(33.65),(32.05)
7 Profit/(Loss) from continuing operations after Tax (5 - 6),108.87,(88.24),157.10,81.48,274.00
Discontinued operations,,,,,
8 Profit from discontinued operation before tax,20.86,8.08,11.06,30.02,14.70
9 Tax Expense of discontinued operation,7.29,2.82,3.83,L0.49,5.09
10 Profit/(Loss) from discontinued operations after Tax (8 - 9),13.57,5.26,7.23,19.53,9.61
11 Profit for the period (7+10),122.44,(82.98),164.33,101.01,283.61
12 Other Comprehensive income:Items that will not be reclassified to profit or loss,,,,,
Effect of measuring investments at fair value,77.67,0.54,18.57),77.94,(26.07)
Actuarial loss on defined benefit obligation,10.94),,(1.S6),(t.56),(1.56)
Deferred tax on GAAP adjustments,(17.72),-,2.59,(17.51),6.73
Rems that will be reclassified subsequently to profit or loss,,,,,
Fair value movement of cashflow hedge instrument (net of tax),10.24),(0.32),1.62,(1.33),1.62
Total Other Comprehensive income net of tax,58.77,0.22,(5.92),57.54,(19.28)
13 Total Comprehensive income (11+12),181.21,(82.76),158.41,158.55,264.33
14 Paid up Equity Share Capital,17.70,17.70,17.59,17.70,17.59
(Face value Re.l per equity share),,,,,
15    Paid up Debt Capital16    Debenture redemption Reserve17    Reserves excluding Revaluation Reserve18    Networth,,,,"100.0025.00L,620.431,638.13","100.0016.671,459.761,477.46"
19 Earnings per Share for continuing operations,,,,,
(i) Basic,6.15,(4.99),8.85,4.60,15.49
(ii) Diluted,6.15,(4.99),8.85,4.60,15.49
(Not annualised) (Rs.per Equity Share )20 Earnings per Share for discontinued operations,,,,,
(i) Basic,0.76,0.30,0.40,1.10,0.54
(ii) Diluted,0.76,0.30,0.40,1.10,0.54
21 Earnings per Share for continuing and discontinued operations,,,,,
(i) Basic,6.91,(4.69),9.25,5.70,16.03
(ii) Diluted22    Debt Equity ratio23    Debt Service Coverage Ratio(DSCR)24    Interest Service Coverage Rntio(!SCR),6.91,(4.69),9.25,5.700.621.272.70,16.030.641.193.64
