0,1,2,3,4,5
,,Quarter ended,,Year ended,
PARTICULARS,31 March 2018,31 December 2017,31 March 2017,31 March 2018,31 March 2017
,(Audited),(Unaudited),(Audited),(Audited),(Audited)
1. INCOME,,,,,
a) Revenue from operations,750.04,661.16,804.27,"2,782.55","2,854.51"
i b) Other income,5.14,1.77,7.75,10.84,15.36
Total Income (1),755.18,662.93,812.02,"2,793.39","2,869.87"
2. EXPENSES,,,,,
a) Cost of materials consumed,189.49,167.27,179.99,729.99,677.13
b) Purchases of stock-in-trade,97.61,80.93,79.51,343.21,229.67
"c) Changes in inventories of finished goods, stock-in-trade and work-in-progress",3.95,7.63,16.65,(12.87),12.63
d) Excise duty,-,-,83.54,71.95,304 88
e) Employee benefits expense,80.70,78.97,70.71,317.65,288.71
f) Finance costs,4.69,5.22,7.82,24.10,34.00
g) Depreciation and amortisation expense,22.86,22.26,20.49,88.53,81.39
h) Power and fuel,152.13,120.92,129.95,519.44,448.02
i) Other expenses,106.09,95.46,113.12,356.82,397.14
Total expenses (2),657.52,578.68,701.78,2.438.82,"2,473.57"
3. Profit before exceptional Items and tax (1-2),97.66,84.25,110.24,354.57,396.30
4. Exceptional items,-,-,-,(0.75),-
5. Profit before tax (3-4),97.66,84.25,110.24,355.32,396.30
6. Tax expense:,,,,,
a) Current tax,31.79,29.83,32.20,125.94,12641
b) Deferred tax,(3.76),1.31,5.87,0.78,16.08
7. Profit for the period (5-6),69.63,63.11,72.17,228.60,253.81
8. Other comprehensive income,,,,,
i) Items that will not be reclassified to profit or loss,0.93,(0.38),(1.10),(0.67),(1.10)
ii) Income-tax relating to items that will not be reclassified to profit or loss,0.08,-,0.38,0.08,0.38
Total comprehensive Income,70.64,52.73,7145,228.01,253.09
Net profit attributable to:,,,,,
a) Owners of the parent,65.97,54.31,70.70,234.96,252.84
b) Non controlling interests,3.66,(120),1.47,(6.36),0.97
Other comprehensive Income attributable to:,,,,,
a) Owners of the parent,1.06,(0.38),(0.72),(0.54),(0.69)
b) Non controlling interests,Ur--- (0.05),-,-,(0.05),(0.03)
9.    Paid up equity share capital (face vafue : f 1 per share) '10.    Other equity'i/11.    Earnings per equity share: (face value : ? 1 per share) {not annualised),J-lOtrgx 15.90,15.89,15.89,"15.901,335.12","15.891,159.23"
i) Basic 5,trIS 4.i5,SIGNECW,)R445,14.78,15.91
ii) Diluted - \c\,Jay]4.14,,â€¢im.i .4'44,14.75,15.86
