0,1,2,3,4,5,6,7,8
,,Standalone,Consolidated,,,,,
,,,,,Year to date,Year to date,Year to date,Year to date
,,,,,figures for,figures for,figures for,figures for
,,,Preceding,Corresponding,Current,the Previous,Current,the Previous
,,3 Months,3 Months,3 Months,Period,Year,Period,Year
,,Ended,Ended,Ended,Ended,Ended,Ended,Ended
,,"31 March,",31 Dec.,"31 March,","31 March,","31 March,","31 March,","31 March,"
SI.,,2018,2017,2017,2018,2017,2018,2017
"No,",Particular?,(Audited),(Un-audlted),{Audited),(Audited),(Audited),< Audited 1,IAudited)
,,,,,,,,
1,Revenue from operations,478.01,411.54,499.28,1759.21,1828.08,1757.64,1828.08
II,Other Income,39.30,7.25,35.90,70.93,73.09,50.64,55.64
ill,Total Income [l+li],"517,31",418.79,535.18,1830.14,1901.17,1808.28,1883.72
IV,Expenses,,,,,,,
,Cost of Materials Consumed,285.47,248.13,290.52,1057.49,1069.40,1057.50,1069.39
,Purchase of Stock-In-Trade,1.91,4.95,0.71,7.12,11.49,7.12,11.49
,"Changes in Inventories of Finished Goods,",(6.57),2.11,(8.27),11.99,(0.38),11.99,(0.38)
,Work-in-Progress and Stock -in-Trade,,,,,,,
,Excise Duty on Sales,-,-,"32,02",33.04,121.72,33.04,121.72
,Employee Benefits Expenses,45.85,45.52,52.06,197.99,199.37,198.20,199.53
,Finance cost,0.85,1.23,0.45,4.23,4.54,4.23,4.54
,Depreciation and Amortisation Expense,7.56,6.10,6.77,26.56,25.84,26.90,25.87
,Other Expenses,66.02,49.02,52.47,230.60,215.08,231.00,215.52
,Total expenses [IV],401.09,357.06,426.73,1569.02,1647.06,1569.98,1647.68
V,Profitf(Loss) before exceptional,,,,,,,
,items and tax (III - IV),116.22,61.73,108.45,261.12,254.11,238.30,236.04
VI,Exceptional items,-,-,-,-,-,-,-
VII,Profit/(Loss) before tax [V-VI],116.22,61.73,108.45,261.12,254.11,238.30,236.04
VIII,Tax Expenses,,,,,,,
,(1) Current Tax,16.20,16.65,40.45,60.92,88.51,58.11,86.05
,(2) Deferred Tax,12.07,4.25,(11.70),15.38,(4.82),15.38,(4.82)
IX,Profit/{Loss) for the period from continuing,,,,,,,
,operations (VII- VIII),87.95,40.83,79.70,184.82,170.42,164.81,154.81
X,Profit/(Loss) from discontinued operations,*,-,-,-,-,-,-
XI,Tax Expenses of discontinued oprerations,-,-,-,-,-,-,-
XII,ProfiV(Loss) from discontinued,-,-,_,.,-,-,-
,operations after Tax [X - XI],,,,,,,
"X'""",Profit / ( Loss ) for the period [IX + XII],87.95,40.83,79.70,184.82,170.42,164.81,154.81
XIV,Other Comprehensive Income,,,,,,,
,(A)(i) Items that will not be Reclassified to,-,-,-,2.39,1.31,2.39,1.01
,Profit or Loss,,,,,,,
,(A)(ii) Income Tax relating to items that will,-,-,-,(0.83),(0.45),(0.83),(0.56)
,not be Reclassified to Profit or Loss,,,,,,,
,(B)(i) Items that will be Reclassified to,-,-,-,-,-,-,-
,Profit or Loss,,,,,,,
,(B)(ii) Income Tax relating to items that will,-,-,-,-,-,-,-
,be Reclassified to Profit or Loss,,,,,,,
,Other Comprehensive Income for the year,-,-,-,1.56,0.86,1.56,0.45
XV,Total Comprehensive Income for the period [XIII+-XIV],"87,95",40.83,79.70,186.38,171.28,166.37,155.26
,[Comprising Profit/(Loss) & other comprehensive Income,,,,,,,
,for the period],,,,,,,
XVI,Earnings per Equity Share (for continuing operation),,,,,,,
,(a) Basic,7.71,3.68,6.99,16.21,14.95,14.46,13.58
,(b) Diluted,7.71,3.58,6.99,16.21,14.95,14.46,13.58
XVII,Earnings per Equity Share (for discontinued operation),,,,,,,
,(a) Basic,-,-,-,-,-,-,•
,(b) Diluted,-,•,-,-,•,*,
XVIII,Earnings per Equity Share (for discontinued,,,,,,,
,and continung operation),,,,,,,
,(a) Basic,7.71,3.58,6.99,16.21,14.95,14.46,13.58
,(b) Diluted,7.71,3.68,6.99,16.21,14.95,14.46,13.58
