0,1,2,3,4,5,6,7,8,9,10,11
,,,,STANDALONE,,,,CONSOLIDATED,,,
,,Quarter ended,Year ended,,Quarter ended,,Year ended,,,,
Sr. No.,Particulars,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2016,31.12 2017,31.03.2017,31.03.2018,31X13.2017
,,(Audited)(refer note 7),(Unaudited),(Audited)(refer note 7),(Audited),(Audited),(Audited)(refer note 7),(Unaudited),(Audited)(refer note 5),(Audited),(Audited)
13,Earninga per share(Of Face Value of Rs. 2/• each) (no: a-inuanseo)(a; Basic,158,2 43,232,8 52,9 67,202,2.80,2.48,996,10.65
,(b) Diluted,158,2 49,2.32,8 52,9.67,2.02,2.80,2.48,995,10 69
14,Debt Eqtrty Ratio #,,*,,0.C5,0.09,,-,•,014,0.13
15,Debt Service Coverage Ratio$,*,,,4 74,259,,-,,244,2 16
16,Interest Service Coverage Ratio #,-,-,,34 38,24 50,-,-,•,18.21,15.75
17,Paid up Debt (Listed Debentures face value of Rs 10,_,,,.,7.500 00,,-,.,5.000.00,22.500-00
18,Lakhs each)Debonture redemption reserve,,,,-,3.000 00,-,-,-,62847,"5,114.56"
19,Net worth#,-,-,-,152131.44,167.022 86,,-,,228.709.C6,"239,120 76"
*,Includes:(i) Direct cuWoor activation and online expenses,"3,690.03",3.48264,3.286.95,13.25276,11.650 93,3.690.03,3.482.64,3.01583,13.252 76,11.650.935.006 59593.52
,(6) Stores and spares consumption,"1,153.30",1 147.41,1.189 97,4.841 46,4.901.23,1.187.70,1.172.89,1.221 83,"4,mS.44",
,(w) Expenditure towards CSR activities,200.00,,500.00,200 00,500.00,245.54,60.32,593.52,328.01,
