0,1,2,3,4,5
,,,,,
Firstsource Solutions Limited,,,,,
AUDITED CONSOLIDATED FINANCIAL RESULTS FOR THE QUARTER AND YEAR ENDED 31. 2018,,,,,
CIN: L64202MH2001PLC134147,,,,,
"Rogistered office: 5th Floor, Paradigm ‘B’ wing, Mindspace, Link Road, Malad (West), Mumbai 400 064",,,,,
"Tel: + 91 22 66660888 Fax: ♦ 91 22 6666 0887 web:www.firstsource.com,emailxomplianceofficer@firstsource.com",,,,,
,,,"(Rs in millions, except per share data and per equity data)",,
,Quarter ended,Year ended,,,
,March 31,December 31,March 31,March 31,March 31
,2018,2017,2017,2018,2017
Particulars,(Audited),(Audited),(Audited),(Audited),(Audited)
Income,,,,,
Revenue from operations,"8,713.16",8.631.41,8.643 69,"34,314 97",34.569 11
"Other operating income, net",259 78,240 97,27933,"1,037.50",986.99
Other income,(25 50),2609,(450),54 31,32 05
Total income,"8,947.44","8,898.47","8,918.52","35,406.78","35,588.15"
Expenses,,,,,
Employee benefits expenses,"6,027.09","6,044,63","6,166 64",23.954.75,23.834 37
Depreciation and amortisation,172 34,171 74,11044,659.24,589 61
Finance costs,88 96,103 84,114.16,404 03,453 16
Other expenses,1.620 97,1.666 42,"1,766 34",6.808 66,7.341 83
Total expenses,"7,909.36","7,986.63","8,157.58","31,826.68","32,218.97"
Profit before tax and share in net (loss) of associate,"1,038.08",911.84,760.94,"3,580.10","3,369.18"
Share in net profit / (loss) of associate,.,.,(001),(0 01),(001)
Profit before taxTax expense,"1,038.08",911.84,760.93,"3,580.09","3,369.17"
Current tax,96.22,145 80,99 83,456 79,454 36
Deferred tax,13.18,(229.51),12 12,(142 48),122 43
Net profit after tax,928.68,995.55,648.98,"3,265.78","2,792.38"
"Other comprehensive income, net of taxes",24 86,(158 93),(381 19),(175 48),(480.07)
Total comprehensive income,953.54,836.62,267.79,"3,090.30","2,312.31"
Profit attributable to:Owners of the equity,928.25,995.47,653.68,"3,265.19","2,799.96"
Non * controlling interest,0 43,0 08,(4.70),0 59,(7.58)
,928.68,995.55,648.98,"3,265.78","2,792.38"
Total comprehensive income attributable to:Owners of the equity,952.59,836.94,268.42,"3,089.52","2,312.69"
Non - controlling interest,0 95,(0.32),(0 63),0 78,(0 38)
,953.54,836.62,267.79,"3,090.30","2,312.31"
Paid-up equity share capital (Face value per share of Rs 10),6 865 23,6.85260,6.813 08,"6,865 23",6.813 08
Reserves excluding revaluation reserve,-,-,-,16.652 37,"13,466 95"
Earning per share (Rs): (Face value per share of Rs 10),,,,,
-Basic,1 36,1.46,096,4 78,4 14
-Diluted,1.35,1 45,095,4 73,4 08
Notes to financials results :,,,,,
1 The audited consolidated financial statements for the quarter and year ended March 31,",2018 have been taken on record by the Board of Directors at its meeting held on May 7, 2018",,,,
"The statutory auditors have expressed an unmodified audit opinion. The information presented above is extracted from the audited consolidated financial statements These financialstatements are prepared in accordance with the Indian Accounting Standard (Ind AS) as prescnbed under Section 133 of the Companies Act, 2013 read with Rule 3 of the Companies",,,,,
"(Indian Accounting Standards) Rules, 2015 and Companies (Indian Accounting Standards) Amendment Rules. 2016",,,,,
"2 Dunng the year ended March 31,2018, 5 214.482 equity shares were issued pursuant to exerase of stock options under the Employee Stock Option Scheme of the Company.",,,,,
"3 The Board of Directors at its meeting held on 07 May 2018 have recommended a maiden dividend of Rs 1 50 per equity share for the finanaal year ended March 31, 2018",,,,,
4. Standalone Information (Audited) under Ind AS,,,,,
,Quarter ended,Year ended,,,
,March 31,December 31,March 31,March 31,March 31
Particulars,2018,2017,2017,2018,2017
Total income,"1,955.84",2.130 14,242643,"8,739.79",9 548 51
Net profit before taxation,488 11,606.06,64693,2.19256,2.187 36
Net profit after taxation and before other comprehensive income,464.18,510 88,546 63,1.919 16,1 884 59
,,,,,
