0,1,2,3,4,5,6,7,8
SI.No.,PART 1 - Particulars,,Quarter ended,,Year ended,Can soli dated Year ended,,
31/03/2016,31/12/2817,31/03/2817,31/03/2818,31/03/2017,31/03/2818,31/03/2817,,
,,Audited,Unaudited,Audited,Audited,Audited,Audited,Audited
1,Revenue from Operations,31.683.52,"38,474.20","38,626.19","125,473.42","119,869.42","141,351.28","136,831.78"
1,Other Income,"1,109.46",532.00,"1,276.27","3,525-53","4,589.83",3.657.78,"5,815 70"
3,Tetal income (1+2),"32,992.96","31,086.28","31,982.46","120,990.95","124,458.45","145,008.90","141,047.40"
4,Expensesa. Cost of materials consumed,"11,771.17","16,081.54","9,131.39","38,781.60","36,789.36","28,781.69","36,709.36"
,b. Purchases of stock-in-trade,727.51,"2,279.03","2,857.52",9.304.46,"9,624.47","15,739.56","15,244.24"
,"c.Changes in inventories of finished goods, work-in-progress andstock-in-trade",(159.59),"(1,676.13)",(663.24),(38.81),"(1,805.26)",(659.41),"843,13"
,d. Employee benefit expenses,"5,538.38","5,318.67","4,989.62","21,738.93","f8,786.11","25,189.87","21,734.16"
,e.Finance Costs,95.12,61.87,(24.85),341.36,500.13,349.21,537.16
,"f, Depreciation and amortization expense","1,304.38",1.425.08,1.240.46,5.594.85,"4,626.42","5,697.37","4,722.44"
,g. other Expenses,10.036.19,"8,617.68","S,623 41","35,468.18","34,338.86","40,675.56","39,062.50"
,Total Expenses (4),"29,313.00","26,898.78","27,155.11","111,894.65","182,780.09","125,613.84",118.852.99
5,Profit before Tax and share of joint venture (3-4),"3,679.98",4.987.42,"4,747.35","17,984.38","21,678.36","19,395.86","22,994 41"
6,Tax expenses,"1,474.05","1,522.36",532.44,"5,104.16","4,381.98","5,523.12","4,554.59"
7,Net Profit1(Less) after Tax before non centreliing Interest(5*6),"2,265.93","3,385 *6","4,214.91","12,000.14","17,296.46","13,871.94","18,439.82"
e,Non contreiUng interest,-,*,*,â€¢,-,37.85,13.55
9,Net Preflt/(L*ss) after Tax and non controlling interest (7-8),"2,285.63","3,305.86","4,214.91",12.808 14,"17,296.46","13,834.09","18,406.27"
IS,Other Comprehensive Income ( net of Tax),(147.84),(13.10),(24621),1241.63),(278.43),(39.36),87.24
n,Total Comprehensive income after Tax (9*10),"2,858.09","3,371.96","3,968.70","12,558.51","17,026.03","13,794.73","18,493.51"
12,(i) Earning per share(EPS) (ef Rs. 2/- each not annualised)(1) Sasic,2.63,4.83,4.68,15.24,28.19,1652,"21,74"
,(2) Diluted,2.63,4.83,4.68,15.24,28.39,16.52,21.74
