0,1,2,3,4,5,6,7,8,9,10
,,Standalone,Consolidated,,,,,,,
,,Quarter ended,Year Ended,Year Ended,,,,,,
Sr.No,Particulars,31-Mar-18,31-Dec-17,31-Mar-17,31-Mar-18,31-Mar-17,31-Mar-18,31-Mar-17,,
,,(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Audited),,
1,Income from operations,,,,,,,,,
,(a) Gross Sales (Note No 1),"159,666","114,076","127,359","469,596","428,228","469,596","428,228",,
,(b) Other operating income,,961,44:,447,"2,043","1,598","2,043","1,598",
,Total Income from operations,"160,627","114,5i:","127,806","471,639","429,826","471,639","429,826",,
2,Other income,"2,256",96C,"1,139","5,319","3,559","5,319","3,559",,
3,Total Income,"162,882","115,472","128,945","476,958","433,385","476,958","433,385",,
4,Expenses,,,,,,,,,
,(a) Cost of materials consumed,11.44C,"8,364","6,283","32,713","19,546","32,713","19,546",,
,(b) Purchase of stock-in-trade,"91,906","75,136","70,918","277,723","257,693","277,723","257,693",,
,"(c) Changes in inventories of finishedgoods, work-in-progress and stock-in-",,,,,,,,,
,trade,,,1.37C,"(5,811)",623,11,"(1,512)",11,"(1,512)"
,(d) Erection & Subcontracting,,,,,,,,,
,Expenses,,"11,927","5,349","13,681","31,043","29,379","31,043","29,379",
,(e) Excise Duty,,,,"1,415",894,"3,655",894,"3,655",
,(0 Employee benefits expense,,"7,402","8,271","9,026","31,788","32,890","31,788","32,890",
,(g)    Finance Costs(h)    Depreciation and amortisation,,"1,545","1,435","1,663","5,886","8,044","5,886","8,044",
,expense,,,886,833,836,"3,394","2,987","3,394","2,987"
,(i) Other expenses,"23,086","16,175","18,468","68,123","63,899","68,123","63,899",,
,Total Expenses,"149,561","109,751","122,913","451,575","416,581","451,575","416,581",,
5,Profit / (Loss) before exceptional items,,,,,,,,,
,and tax (3,-4),"13,321","5,722","6,032","25,383","16,804","25,383","16,804",
6,Exceptional Items (note 4),,"8,936",-,-,"8,936",-,"7,879",.,
7,Profit / (Loss) before tax (5 +/- 6),,"4,385","5,722","6,032","16,447","16,804","17,504","16,804",
8,Tax Expense,,,,,,,,,
,Current Tax,"4,812","2,500","2,070","10,062","6,600","10,062","6,600",,
,Deferred Tax,(1.158),(461),120,"(1,977)",(562),"(1,977)",(562),,
,Total Tax Expense,"3,654","2,039","2,190","8,085","6,038","8,085","6,038",,
9,Net Profit/(Loss) for the period (7,,,,,,,,,
,+1-8),,,731,"3,683","3,842","8,362","10,766","9,419","10,766"
10,Share of Profit / (loss) of associatesand joint ventures,,,m,,,_,"(1,056)",(549),
11,Net Profit/(Loss) for the period (9,,,,,,,,,
,+/-10),,,731,"3,683","3,842","8,362","10,766","8,363","10,217"
12,"Other comprehensive income, net ofincome tax",,,,,,,,,
,(i)    Items that will not be reclassifiedto profit or loss(ii)    Income tax relating to items thatwill not be reclassified to profit or,,(432),(362),(10),(627),335,(641),359,
,loss,,,144,127,8,219,(105),219,(105)
,"Total other comprehensive income,net of income tax",(288),(235),(2),(408),230,(422),254,,
13,Total comprehensive income for the,,,,,,,,,
,period (11 +/-13),"1,019","3,918","3,844","8,770","10,536","8,785","9,963",,
14,Paid-up equity share capital (Face,,,,,,,,,
,value of Rs. 2/-),"2,041","2,038","2,026","2,041","2,026","2,041","2,026",,
15,Reserve excluding revaluationreserves as per balance sheet ofprevious accounting year,,N/A,N/A,N/A,"92,413","85,124","91,589","84,285",
16,Earnings per share (not annualised) -before exceptional items,,,,,,,,,
,(a) Basic,,,8.63,3.62,3.8C,16.17,10.65,15.13,10.10
,(b) Diluted,,,8.59,3.61,3.79,16.09,10.63,15.06,10.08
,Earnings per share (not annualised) -after exceptional items,,,,,,,,,
,(a) Basic,SIGNEDjFOR IDENTIF,CATION,0.71,3.62,3.8C,8.23,10.65,8.23,10.10
,(b) Diluted,0.7C,3.61,3.79,8.19,10.63,8.19,10.08,,
,,"i""\rS R B C&CO LLP",,,*5-47VN,,,,,
