0,1,2,3,4,5
Tax expense: (Refer Note6)-    Current tax including MAT-    Deferred tax (credit)/ charge-    Income tax for previous periods,179.5(237.0)49.9,2.7142.3,-,555.6(460.2)49.9,16.6
,(7.6),145.0,-,145.3,16.6
(Loss)/ Profit for the period,659.9,69.2,425.5,"2,465.0",(141.3)
Other Comprehensive IncomeItems that will not be reclassified to profit or loss:Remeasurement (Loss)/ Gain of post employment benefit plans,17.7,18.8,25.0,(7.8),50.6
Income tax relating to these items,(3.8),(4.0),-,1.7,-
"Other Comprehensive Income for the period, net of tax",13.9,14.8,25.0,(6.1),50.6
Total Comprehensive Income for the period,673.8,84.0,450.5,"2,458.9",(90.7)
Paid-up Equity Share Capital (Face value of Rs.10/- each),432.9,432.9,432.9,432.9,432.9
Reserves (excluding Revaluation Reserves) as shown in the Balance Sheet ofprevious yearWeighted average number of equity shares outstanding as at period end,"43,284.958","43,284,958","43,284,958","13,005.943,284,958","10,589.743,284,958"
Basic and diluted earnings per share after exceptional items (in Rs.),15.2,1.6,9.8,56.9,(3.3)
Basic and diluted earnings per share before exceptional items (in Rs.),10.8,1.0,9.5,22.4,(7.7)
Face value per share (in Rs.),10.0,10.0,10.0,10.0,10.0
