0,1,2,3,4,5,6
,,For the quarter ended,For the year ended,,,
,Particulars,,,,,
,March 312018,December 31 2017,March 312017,March 31 2018,March 31 2017,
,,,,,,
,(Refer notes below),(Refer note 2),(Unaudited),(Refer note 2),(Audited),(Audited)
1,Income from operations,130943,126606,128049,512090,506815
2,"Other income, net (Refer note 3)",24901,9718,(61408),45466,(1691)
3,Total income (1+2),155844,136324,66641,557556,505124
4,Expenses,,,,,
,a. Network and transmission expense,48704,45588,48165,190242,192339
,b. Employee benefits expense,20207,22381,18968,85887,75754
,c. Finance costs,889,1159,725,4031,3068
,d.Depreciation and amortisation expense,23809,20228,19756,83025,76458
,e. Other expenses,32466,28409,35632,122041,119403
,f. Total expenses (4a to 4e),126075,117765,123246,485226,467022
5,Profit from ordinary activities beforeexceptional items and tax (3 - 4),29769,18559,(56605),72330,38102
6,Exceptional items (Refer note 4 & 5),(3320),,(88285),(23423),82382
7,Profit / (Loss) from ordinary activitiesbefore tax (5 + 6),26449,18559,(144890),48907,120484
8,Tax expense/ (benefit):,,,,,
,a. Current tax,10559,7420,(4285),30485,60250
,b. Deferred tax,(3239),(1067),(14119),(8241),(8749)
9,Profit / (Loss) for the period (7 - 8),19129,12206,(126486),26663,68983
10,Other Comprehensive Income / (Loss) (netof tax),142,459,456,(51726),(18802)
11,Total Comprehensive Income / (Loss)(9 + 10),19271,12665,(126030),(25063),50181
12,Paid up equity share capital (Face value of ?10 per share),28500,28500,28500,28500,28500
13,Reserves excluding Revaluation reserve,,,,831240,876415
14,Earnings per share (of? 10/- each) (notannualised)Basic and diluted earnings per share ?,6.71,4.28,(44.38),9.36,24.20
,,,,,,
