0,1,2
Particulars,Audited,
Consolidated Results - Year Ended,,
31.03.2018,31.03.2017,
FINANCIAL PERFORMANCE,,
1 Income,,
(a) Sales/lncome from Operations,"2,43,399.40","2,13,904.15"
(b) Other Operating Income,862.71,384.50
(c) Other Income,"1,527.88","1,384.39"
Total Income,"2,45,789.99","2,15,673.04"
2 Expenses,,
(a) Cost of materials consumed,"51,365.48","45,273.13"
(b) Purchases of stock-in-trade,"1,42,455.74","1,22,731.74"
"(c) Changes in inventories of finished goods, work-in-progress and stock-in-trade",666.00,"(4,362.52)"
(d) Excise Duty,"24,752.47","26,795.76"
(e) Employee benefits expense,"2,892.57","2,969.35"
(f) Finance Costs,617.88,609.24
(g) Depreciation and amortisation expense,"2,834.40","2,776.37"
(h) Other expenditure,"11,416.90","10,001.53"
Total Expenses,"2,37,001.44","2,06,794.60"
"3 Profit/(Loss) before share of profit / (loss) of associates /Joint Ventures, exceptional Items and","8,788.55","8,878.44"
tax (1-2),,
4 Share in Profit of Joint Ventures /Associates,"1,321.59","2,318.98"
5 Profit/(Loss) before exceptional items and tax (3+/-4),"10,110.14","11,197.42"
6 Exceptional Items - Expenses/(lncome),-,-
7 Profit/(Loss) before tax (5+/-6),"10,110.14","11,197.42"
8 Tax Expense,,
(a) Current Tax,"2,570.98","2,236.24"
(b) Deferred Tax,466.57,777.84
(c) Provision for tax for earlier years written back (net),(145.69),(52.48)
Total Tax Expense,"2,891.86","2,961.60"
9 Net profit/(loss) for the period (7-8),"7,218.28","8,235.82"
10 Other comprehensive income,,
(a) Items that will not be reclassified to profit or loss (net of tax),38.18,158.83
(b) Items that will be reclassified to profit or loss (net of tax),(1.54),4.24
Total Other Comprehensive Income,36.64,163.07
"11 Total comprehensive income, for the period (9 +/-10)","7,254.92","8,398.89"
12 Paid up Equity Share Capital (Face value ? 10/- each),"1,523.82","1,015.88"
13 Other Equity excluding Revaluation Reserves,"24,008.23","20,055.16"
14 Basic and Diluted Earnings Per Share (of ? 10/- each) (not annualised),47.37,54.05
