0,1,2,3,4,5,6,7,8,9,10,11
,,STANDALON,,CONSOLIDATED,,,,,,,
,,Quarter onded,Year ended,Quarter ended,Yeer ended,,,,,,
"Sr, Nc",Particulars,31.03.2018,31.12.2017,31.03.2017,31 03.2018,31.03.2017,31.03.2018,31.12.2017,31.03 2017,31.03.2018,31.03.2017
,,(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Unaudited),(Audited),(Audited),(Audited)
,,(rofer note 7),(refer note 7),,,(refer note 7),,(refer note 5),,,
181,"Other comprehcnaive incomo, net of Income taxItems that will not be reclassified to profit or loss",,,,,,,,(169 05),(87 77),(294 21)
,â€¢ Changes in fair value of FVTOCI equty instruments,(049),(2 98),(131 70),(68 14),(228 40),(2 35),(2 98),,,
,- Remeasurements of post-empJoymunI benefit,67.50,(7.75),(148 43),44.24,(31.02),17478,(48.42),(328.84),49 85,(211.43)
,obligationsIncome lax relating lo those items,(23 25),3.37,41.11,041,6343,(06 58),17.45,11850,(1 58),14865
,"Other comprehensive Income for the period, net oftax",43 76,(7 36),(239 0?),(23 49),(195 99),105 05,(33 95),(381 99),(39 50),(356.99)
9,Total comprehensive Income for the period (7*8),"4,949.80","7,732.29","7,350 96",26.577.81,31.410.44,"6,382.71",8.689.24,"7,729.73","31,058.14","34,575.13"
10,ProSt is attnbulable to:Owner* of the CompanyNon-controlling interest,,.,.,-,,5.900.69376.176.276.86,8.475.74247 458 723 10,8.103.138598.111.72,29 984 741 112.9031 097 64,34.752 18179 9434.932.12
,Other comprehensive income Is attributable toOwners ol the Company,,,,,,85 23,(2613),(373.20),(40.56)108(39 50),(34820)
,Non-controlling interest,,-,,,-,20.62105.85,(7 82)(33.95),(8.79)(381 99),(0.79)(356 99),
,Tola' comprehensive income attributable to.Owners of the CompanyNon-controling interest,,,,-,,5    985 92396796    382.71,8.449 61239 638 689 24,7.729.83(0 20)7.729.73,29.944 181.1139631.058 14,34.403 98171.1534.575 13
n,Paid up equity share capital (Face Value of Ra. 2/-,6 228 24,6.228.24,6 038 24,6 228 24,653824,6.228 24,6 228.24,8.538 24,6.228 24,6.538 24
,each),,,,,160.484.62,,,,197.739.75,208.954.80
12,Oiher equity,,,,145.903 20,,,,,,
