0,1,2,3,4,5,6,7
,Rs. in Crores),,(Rs. in Crores),,,,
Particulars,Year Ended,PreviousYear ended,,Particulars,Year ended,PreviousYear ended,
31.3.2018,31.3.2017,31.3.2018,31.3.2017,,,,
Audited,Audited,Audited,Audited,,,,
,CONTINUING OPERATIONS,,,,1 Segment Revenue,,
1,Income from Operations,,,,(Sales) (Refer Note 6),,
,(a) Sales (Refer Note 6),8092.14,8160.48,,(a ) Textiles,1396.25,1540.77
,(b) Other operating income (Refer Note 8),292.87,238 38,,( b ) Cement,4306.15,4323.92
2,Other Income,83.47,74.38,,( c ) Pulp and Paper,2228 84,2171 16
3,Total Income (1 + 2),8468.48,8473.24,,( d ) Real Estate,135.23,97 18
,,,,,(e) Others,97.15,118.71
4,Expenses,,,,Total,8163.62,8251 74
,(a) Cost of materials consumed,231026,2428 53,,Less: Inter Segment Revenue,71 48,91.26
,(b) Purchases of stock-in-trade,2.69,068,,Sales from continuing operations,8092 14,8160 48
,"(c) Changes in inventories of finished goods,",,,,Add Sales from discontinued operations,,
,work-in-progress and stock-in-trade,(6.26),77 45,,(Textiles segment),86 78,252 90
,(d) Employee benefits,657.96,637.17,,Total Sales,,
,(e) Finance costs,451.69,550.75,,(Continuing & discontinued operations),8178.92,841338
,(f) Depreciation and amortisation,313.75,313.34,,2 Segment Results,,
,(g) Other expenditures,,,,Profit / (Loss) after depreciation but,,
,- Stores and spare parts consumed,247.94,273.11,,before finance costs and exceptional items,,
,"- Power, fuel and water",1571.14,1464.91,,( a ) Textiles,151.54,176.57
,"- Freight, forwarding, octroi, etc.",1445.75,1261.85,,( b ) Cement,408.75,165 68
,- Excise duty (Refer Note 6),195.51,754.11,,(c)Pulp and Paper,372.60,306.68
,- Others,638.94,57074,,(d)Real Estate,132.16,18 36
,,,,,(e ) Others,13.21,15.57
,Total expenses (a to g),7829.37,8332 64,,Sub - Total,1078.26,682 86
,,,,,Add / ( Less ),,
5,Profit before exceptional items and tax (3 - 4),639 11,140 60,,Inter Segment(Profit) /Loss,3 80,(170)
6,Exceptional items,-,-,,Total,1082 06,681 16
7,Profit before tax from continuing operations (5 - 6),639.11,140 60,,(Add) /Less .,,
8,Tax expenses of continuing operations,,,,i. Finance Costs,451 69,550 75
,Current Tax (net of MAT credit entitlement),-,,,ii. Other un-allocable expenditure,,
,Deferred Tax,230.65,16.71,,net of un-allocable income,(8.74),(10.19)
9,Net Profit for the period from continuing operations (7 - 8),408.46,123.89,,Profit Before Tax (continuing operations),639.11,140.60
,,,,,"(Loss) from discontinued operations (Textiles segment),",,
,DISCONTINUED OPERATIONS(Refer Note4),,,,including (loss) on measurement to net realisable value,(49.45),(28.90)
10,(Loss) before tax from discontinued operations,(31.33),(28.90),,Total Profit Before Tax,589.66,111.70
11,(Loss) on measurement to net realisable value,(18.12),,,,,
12,Tax expenses (Debit)/Credit of discontinued operations,12.65,1000,,3 Segment Assets,,
13,Net (Loss) for the period from discontinued operations,(36.80),(18 90),,(a)Textiles,998.28,1148 29
,,,,,(b)Cement,4015.98,3874 02
14,Net Profit for the period (9 + 13),371 66,104 99,,( c) Pulp and Paper,3135 52,324881
15,Other comprehensive income,,,,( d ) Real Estate,1484 83,1447 07
,(a) (i) Items that will not be reclassified to profit or loss,(29 88),90 30,,( e) Others,39 78,57 54
,(ii) Income tax on above,(180),(323),,,9674 39,9775 73
,(b) (i) Items that will be reclassified to profit or loss,-,,,,,
,(ii) Income tax on above,-,-,,(f ) Textiles (discontinued operations),,8657
,Total Other Comprehensive lncome/(loss) for the period (a+b),(31.68),87 07,,( g ) Unallocable Assets,656 94,474.02
16,Total Comprehensive Income for the period (14+15),339.98,192 06,,Total Assets,10331.33,10336 32
17,Paid-up equity share capital,,,,,,
,(Face Value : Rs. 10/- per share),111.69,111.69,,4 Segment Liabilities,,
18,Other Equity,2636.20,2370 17,,( a ) Textiles,1078.24,313.27
19,Earnings Per Share in Rs.,,,,( b ) Cement,1174.65,983.54
,Basic & Diluted Earnings Per Share - Continuing operations,36.57,11.09,,( c ) Pulp and Paper,535.14,446.35
,Basic & Diluted Earnings Per Share - Discontinued operations,(3.29),(1 69),,( d ) Real Estate,149.43,123.90
,Basic & Diluted Earnings Per Share -,,,,(e ) Others,14.33,21.19
,(continuing & discontinued operations),33.28,9.40,,,2951 79,188825
,,,,,(f ) Textiles (discontinued operations),,25.93
,,,,,( g ) Unallocable Liabilities,4631 65,5940.28
,,,,,Total Liabilities,7583 44,7854 46
