0,1,2,3,4,5,6,7,8,9,10
Standalone Results,,Consolidated Results,,,,,,,,
Quarter Ended,Year Ended,Particulars,Quarter Ended,Year Ended,,,,,,
31-Mar-18,31-Dac-17,31-Mar-17,31-Mar-18,31-Mar-17,31-Mar-18,31-Dec-17,31-Mar-17,31-Mar-18,31-Mar-17,
(Audited),(Unaudited),(Audited),(Audited),(Audited),,(Audited),(Unaudited),(Audited),(Audited),(Audited)
487.55,495.13,458.81,"1,986.32","1,602.17",Revenue from Operations (refer note 5),"2,316.91","2,458.48","2,004.16","9,405.05","8,482.53"
10.00,7.85,20.33,33.43,46.88,Other Income,340.48,57.44,41.80,563.78,168.87
497.55,502.98,479.14,"2,019.75","1,649.05",TOTAL INCOME,"2,657.39","2,515.92","2,045.96","9,968.83","8,651.40"
,,,,,EXPENSES,,,,,
319.92,362.80,298.29,"1,278.94","1,111.86",a) Cost of Materials Consumed,"1,218.84","1,294.96","1,107.70","5,063.59","4,730.12"
-,-,-,-,-,b) Cost of Property Development,450.96,494.71,285.15,"1,464.84","1,073.31"
(6.18),8.63,0.07,7.81,"16,68",c) Purchase of Stock in Trade,126.27,147.89,85.35,621.70,515.04
28.20,(23.18),34.98,13.29,(46.05),"d) Change In Inventories of Finished Goods, Work in Progress and Stock in Trade",22.24,(53.94),8.91,2.16,(54.06)
-,-,26.20,27.99,102.08,e) Excise Duty (refer note 5),-,-,31.15,48.56,117.40
36.96,34.31,26.98,133.55,116.25,f) Employee Benefits Expenses,194.58,140.73,123.84,574.16,474.52
52.98,50.72,52.30,212.43,207.88,g) Finance Costs,102.96,101.14,84.37,413.15,401.32
25.51,14.38,14.56,88.58,52.43,h) Depreciation and Amortisation Expenses,52.82,41.44,39.11,175.27,148.14
79.70,77.63,60.01,287.89,231.29,i) Other Expenses,334.12,281.63,253.02,"1,188.32",985.27
537.09,525.29,513.39,"2,030.48","1,794.40",TOTAL EXPENSES,"2,502.79","2,448.56","2,018.60","9,551.75","8,391.56"
(39.54),(22.31),(34.25),(10.73),(145.35),"Profit / (Loss) Before Exceptional Items, Share of Profit of Equity AccountedInvestees and Tax",154.60,67.36,27.36,417.08,259.84
0.61,266.77,-,267.38,-,Exceptional Items - (net) (refer note 12 and 13),-,12.05,0.54,12.05,22.76
(38.93),244.46,(34.25),256.65,(145.35),Profit / (Loss) Before Share of Profit of Equity Accounted Investees and Tax,154.60,79.41,27.90,429.13,232.60
-,-,-,,-,Share of Profit of Equity Accounted Investees (net of Income Tax),129.39,108.55,88.37,385.63,343.63
(38.93),244.46,(34.25),256.65,(145.35),Profit / (Loss) Before Tax,2B3.99,187.96,116.27,814.76,626.23
,,,,,Tax Expenses,,,,,
7.48,6.00,,13.48,-,a) Current Tax (refer note 11),13.37,45.14,46.02,169.42,185.92
1.77,-,(0.11),1.77,(0.11),b) Deferred Tax (refer note 11),(6.47),11.91,(24.98),14.24,(18.51)
(48.18),238.46,(34.14),241.40,(145.24),Profit / (Loss) After Tax,277.09,130.91,95.23,631.10,458.82
,,,,,OTHER COMPREHENSIVE INCOME,,,,,
1.16,(0.48),(0.76),(0.28),(1.92),Items that will not be reclassified subsequently to Profit or Loss,(1.36),(1.84),(7.37),(11.38),(8.87)
-,-,-,,-,Income Tax relating to Items that will not be reclassified subsequently to Profit or Loss,1.37,0.31,2.81,3.83,1.60
-,-,.,,-,Items that will be reclassified subsequently to Profit or Loss,22.30,(10.89),(15.78),6.88,(15.46)
*,"""",,,"""",Income Tax relating to items that will be reclassified subsequently to Profit or Loss,(0.38),(1.48),(1.09),(0.19),(1.09)
1.16,(0.48),(0.76),(0.28),(1.02),"Other Comprehensive Income for the Period, net erf Income Tax",21.93,(13.90),(21.43),(0.86),(23.82)
,,,,,,,,,,
(47.02),237.98,(34.90),241.12,(147.16),TOTAL COMPREHENSIVE INCOME,299.02,117.01,73.60,630.24,435.00
,,,,,Net Profit Attributable to:,,,,,
(48.18),238.46,(34.14),241.40,(145.24),a) Owners of the Company,199.20,90.88,45.54,421.37,256.45
-,-,-,-,-,b) Non-Controlling Interest,77.89,40.23,49.69,209.73,202.37
,,,,,Other Comprehensive Income Attributable to:,,,,,
1.16,(0.48),(0.76),(0.28),(1.92),a) Owners of the Company,21.70,(10.49),(20.35),3.14,(23.08)
*,,*,-,•,b) Non-Controlling Interest,0.23,(3.41),(1.08),(4.00),(0.74)
,,,,,Total Comprehensive Income Attributable to:,,,,,
(47.02),237.98,(34.90),241.12,(147.16),a) Owners of the Company,220.90,80.19,25.19,424.51,233.37
,•,-,-,-,b) Non-Controlling Interest,78.12,38.82,48.61,205.73,201.63
33.63,33.63,33.61,33.63,33.61,Paid-tp Equity Share Capital (Face value - Re. 1 par share),33.63,33.63,33.61,33.63,33.61
,,,"1,766.93","1,581.82",Reserves excluding Revaluation Reserve,,,,"3,875.28","3,162.01"
,,,,,Earnings per Equity Share,,,,,
(1.43),7.D9,(1.02),7.18,(4.32),a) Basic (Face Value of Re 1 each),5.91,2.69,1.05,12.48,7.13
(1.43),7.09,(1.01),7.17,_£22,b) Diluted (Face Value of Re 1 each),5.91,2.68,1.05,12.47,7.12
