0,1,2,3,4,5
,Quarter ended,Quarter ended,Quarter ended,Year ended,Year ended
Particulars,March 3 1.2018,December 31.2017,March 31.2017,March 3 1.20 18,March 31.2017
,Audited,Un Audited,Audited,Audited,Audited
IncomeRevenue from operations,32088.41,27398.55,29884.85,1 13800.05,98315.98
Total Revenue from operations,32088.41,27398.55,29884.85,113800.05,98315.98
Other income,163.05,40.54,26.40,484.86,122.75
1 otal Income,"32251.46""",27439.09,29911.25,114284.91,98438.73
ExpensesCost of materials consumed,18935.98,15598.10,14716.58,71950.78,54406.41
Changes in inventories,775.92,(125.43),3213.80,(2893.55),786.02
Employee benefits expense,1388.96,1220.37,1063.35,4749.3 1,4012.71
Finance costs,210.54,185.30,366.37,782.79,1 117.32
Depreciation and amortization expense,874.43,842.25,762.33,3408.51,3325.13
Other expenses,3869.76,4258.87,4475.54,16104.42,15899.97
Total Expenses,26055.59,21979.46,24597.97,94102.26,79547.55
Profit before tax,6195.87,5459.64,5313.28,20182.65,18891.18
Tax expense,,,,,
(1) Current tax,1427.78,1400.00,1730.22,5277.78,5230.22
(2) Deferred tax,43.61,17.25,19.72,91.73,204.66
Net Profit for the Period,4724.48,4042.39,3563.34,14813.14,13456.30
Other comprehensive income (OCI)(a) (i) Items that will not be reclassified to profit or loss,(96.06),,(25.71),(96.06),(25.71)
(ii) Tax on items that will not be reclassified to profit or loss,33.24,-,8.90,33.24,8.90
lb) items tnat will be reciassitied to profit or loss(Transilation of foreign operations),(261.79),264.41,(1343.99),415.56,(785.38)
(ii) Income tax relating to items that will be reclassified to profit or loss,-,-,,â€œ,
Total Other Comprehensive income,(324.60),264.41,(1360.80),352.75,(802.19)
Total Comprehensive income,4399.87,4306.80,2202.53,15165.89,12654.10
Earnings per equity share(Face value of Rs.2/- each),,,,,10.12
(1) Basic,3.55,3.04,2.68,1 1.14,
(2) Diluted,3.55,3.04,2.68,1 1.14,10.12
