0,1,2,3,4,5,6,7,8,9,10,11
GODREJ CONSUMER PRODUCTS LIMITED,,,,,,,,,,,
"Regd. Office: Godrej One, 4th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (E), Mumbai 400 079www.godrejcp.com, CIN:L24246MH2000PLC129806",,,,,,,,,,,
(fCrore),,,,,,,,,,,
CONSOLIDATED,,,STANDALONE,,,,,,,,
Quarter ended,Year Ended,Sr.,PARTICULARS,Quarter ended,Year Ended,,,,,,
31-Mar-18,31-Dec-17,31-Mar-17,31-Mar-18,31-Mar-17,No.,,31-Mar-18,31-Dec-17,31-Mar-17,31-Mar-18,31-Mar-17
(Audited),(Unaudited),(Audited),(Audited),(Audited),,,(Audited),(Unaudited),(Audited),(Audited),(Audited)
,,,,,11,Other Comprehensive Incomea) (i) Items that will not be reclassified to profit or loss,,,,,
(3.84),3.73,(5.89),(5.24),(12.95),,Remeasurements of defined benefit plans,(5.02),2.59,(7.13),(4.60),(11.78)
2.87,(1.44),2.80,2.63,6.60,,(ii) Income tax relating to items that will not be reclassified toprofit or loss,2.86,(1.44),3.99,2.63,6.59
,,,,,,b) (i) Items that will be reclassified to profit or loss,,,,,
90.22(0.63),(80.81)(0.99),22.740.58,45.48(5.92),(90.67)13.200.41,,Exchange differences in translating the financial statements offoreign operationsEffective portion of gains and loss on hedging instruments in acash flow hedge(ii) Income tax relating to items that will be reclassified to profit orloss,-,-,-,-,(1.16)0.41
88.62,(79.51),20.23,36.95,(83.41),,Other Comprehensive Income,(2.16),1.15,(3.14),(1.97),(5.94)
705.81,350.36,407.81,1671.13,1224.56,12,Total Comprehensive Income (10+11),292.97,300.22,247.59,997.90,841.78
,,,,,13,Net Profit / (Loss) attributable to :,,,,,
617.19,429.87,387.58,1634.18,1304.08,,a) Owners of the company,295.13,299.07,250.73,999.87,847.72
-,-,-,-,3.89,,b) Non-Controlling interests,-,-,-,-,-
,,,,,14,Other comprehensive income attributable to:,,,,,
88.62,(79.51),20.23,36.95,(83.41),,a) Owners of the company,(2.16),1.15,(3.14),(1.97),(5.94)
-,-,-,-,-,,b) Non-Controlling interests,-,-,-,-,-
,,,,,15,Total comprehensive income attributable to:,,,,,
705.81,350.36,407.81,1671.13,1220.67,,a) Owners of the company,292.97,300.22,247.59,997.90,841.78
-,-,-,-,3.89,,b) Non-Controlling interests,-,-,-,-,-
68.13,68.13,34.06,68.13,34.06,16,Paid-up Equity Share Capital(Face value per share:f1),68.13,68.13,34.06,68.13,34.06
,,,6190.18,5267.89,17,Reserves excluding Revaluation Reserves,,,,4573.46,4339.55
,,,,,18,Earnings per share(of1 each)(Not Annualised),,,,,
9.060,6.309,5.690,23.987,19.145,,a) Basic(*),4.332,4.390,3.681,14.676,12.445
9.057,6.308,5.689,23.981,19.140,,b) Diluted(^),4.331,4.389,3.680,14.673,12.442
