0,1,2,3,4,5
"KP'lT Technologies LimitedRegistered & Corporate Office - 35 & 36, Rajiv Gandhi Infotech Park, Phase 1, MIDC, Hinjawadi, Pune - 411057Phone : +91 20 6652 5000 | Fax : +91 20 6652 5001 |connectwithus@kpit.com|www.kpit.com| CIN : L72200PN1990PLC059594",,,,,
PARTI,,,,,
"STATEMENT OF AUDITED STANDALONE FINANCIAL RESULTS FOR THE QUARTER AND YEAR ENDED MARCH 31, 2018",,,,,
Tin million (except per shore data),,,,,
Particulars,Quarter ended,Year ended,,,
,"March 31, 2018","December 31,","March 31, 2017","March 31, 2018","March 31, 2017"
,(Audited),2017,(Audited),(Audited),(Audited)
,(Refer note 8),(Unaudited),(Refer note 8),,
Revenue from operations,"4,000.26","3,777.14","3,221.78","14,423.53","13,223.23"
Other income (Refer note 3),159.04,7.28,(10.69),420.75,159.40
Total Income,"4,159.30","3,784.42","3,211.09","14,844.28","13,382.63"
Expenses,,,,,
Cost of materials consumed,25.27,2.42,101.88,59.07,233.03
Changes in inventories of finished goods and work-in-progress,15.62,0.64,2.66,1.04,"6.61"""
Employee benefits expense,"2,450.83","2,318.71","2,006.44","9,241.75","7,965.40"
Finance costs (Refer note 4),14.59,10.86,(19.36),48.31,85.39
Depreciation and amortization expense,220.37,172.71,203.57,725.30,711.44
Excise duty,-,-,11.07,0.63,27.59
Other expenses,778.19,705.88,633.19,"2,787.11","2,370.73"
Total expenses,"3,504.87","3,211.22","2,939.45","12,863.21","11,400.19"
Profit before exceptional items and tax,654.43,573.20,271.64,"1,981.07","1,982.44"
Exceptional items (Refer note 6),-,-,-,25.55,-
Profit before tax,654.43,573.20,271.64,"2,006.62","1,982.44"
Tax expense,,,,,
Current tax,153.22,117.92,21.46,456.71,376.90
Deferred tax (benefit)/charge,(134.20),(31.19),(33.76),(225.59),(87.40)
Total tax expense,19.02,86.73,(12.30),231.12,289.50
Profit for the period,635.41,486.47,283.94,"1,775.50","1,692.94"
Other comprehensive income,,,,,
Items that will not be reclassified to profit or loss,,,,,
Remeasurements of defined benefit plans,(10.58),(12.19),13.69,(43.48),(23.42)
Income tax on items that will not be reclassified to profit or loss,3.10,4.37,(4.60),12.76,6.32
Items that will be reclassified to profit or loss,,,,,
Effective portion of gains / (losses) on hedging instruments in cash flow hedges,(56.92),62.36,89.70,(128.69),61.44
Income tax on items that will be reclassified to profit or loss,19.70,(21.58),(31.05),44.54,(21.27)
Total other comprehensive income,(44.70),32.96,67.74,(114.87),23.07
Total comprehensive income for the period,590.71,519.43,351.68,"1,660.63","1,716.01"
Paid up equity capital (Face value ^ 2/- per share),379.03,378.03,376.39,379.03,376.39
Other equity,,,,"14,663.33","13,366.81"
Earnings per equity share for continuing operations (face value per shareR2 each),,,,,
Sasic,3.29,2.53,1.48,9.22,8.83
Diluted,3.19,2.45,1.42,8.91,8.47
Notes:,,,,,
1 The above audited standalone financial results have been reviewed by the Audit Committee and thereafter approved and taken on record by the Board of Directors in,,,,,
"their respective meetings held on May 23, 2018. These audited standalone financial results have been prepared in accordance with the Indian Accounting Standards",,,,,
"(""Ind-AS"") as specified under Section 133 of the Companies Act, 2013 read with Rule 3 of the Companies (Indian Accounting Standards) Rules, 2015 and Companies",,,,,
"(Indian Accounting Standards) Amendment Rules, 2016 and provisions of the Companies Act, 2013",,,,,
"2 The Statutory Auditors of the Company have audited the above standalone financial results of the Company for the quarter and year ended March 31, 2018. An",,,,,
unqualified opinion has been issued by them thereon.,,,,,
