0,1,2,3,4,5,6
,STANDALONE,,,,,
SR.NO,PARTICULARS,QUARTERENDED(AUDITED)(Refer Note 1),QUARTERENDED(UNAUDITED),QUARTERENDED(AUDITED)(Refer Note 1},YEAR ENDED(AUDITED),YEAR ENDED(AUDITED)
31.3.18,31.12.17,"31.3,17",31.3.18,"31,3.17",,
,,,,,,
,Revenue from operations,"1,371.97",898.99,"1,301.86","4,425.15","4,145.60"
,^Other income,1.65,"1,98",3.11,7.95,13.13
,Finance Income,200,1.29,4.28,8.19,21.25
1,Total Income,"1,375.82",902.26,"1,309.25","4,441.29","4,180.98"
2,Expenses,,,,,
,a} Cost of materials consumed (includinq direct project cost],720.14,472.88,684.42,2.141.79,"2,068.74"
,b) Purchase of Slock in trade,522.05,174.19,327 69,"1,060.59",859.92
,"c} Changes in Inventories of Finished Goods, Work-in-progress andStock-in-Trade",(293.95),(64 57},(88.83),(193.46),(21.09)
,d) Excise Dutv,-,-,11.83,9.18,37.00
,e) Employee Benefits Expense,97.66,90.07,"82,70",358.77,309 78
,f) Depreciation and Amortisation Expense,17.00,"15,82",15.15,60.57,54.97
,g) Finance Cost,9.16,5.97,9.95,22.88,30.61
,h) Other Expenses,245.55,179.38,220.38,803.07,692.77
,Total Expenses,"1,317.61",873.74,"1,263.29","4,263.39","4,032.70"
3,Profit from Operations before Exceptional Items and Tax (1-2),58.21,28.52,45.96,177.90,148.28
4,Exceptional Items (refer note 4),5.27,12.58,-,17.85,-
5,Profit before Tax (3+4),63.48,41.10,45.96,195.75,148.28
6,Tax Expense,,,,,
,I) Current tax,4.79,8.73,15.27,40.15,42.26
,ii) Deferred lax,13.64,0.36,(1.88),13.67,(5.95)
7,Net Profit after Tax (5-6),45.05,32.01,32.57,141.93,111.97
,Other Comprehensive Income,,,,,
,(i) Items that will not be reclassified to profit or loss,1.94,(1.08),(2.49),(2.43),(6.00)
,(ii) Income tax relating to items that will not be reclassified to profit orloss,(0.67),037,0.87,0.84,2.07
8,"Other Comprehensive Income, net of tax",1.27,(0.71),(1-62),(1.59),(3.93)
9,Total Comprehensive Income for the period (7+8),46.32,31.30,30.95,140.34,108.04
10,Paid Up Equity Share Capital (Face Value of the share ?2/- each),19.20,19.18,19.11,19.20,19.11
11,Reserves excluding Revaluation Reserve as per balance sheet ofprevious accounting year,,,,966.10,898.65
12,Eaminqs Per Share (EPS) (in ?) (not annualised),,,,,
,a) Basic,4.69,3.34,3.41,14.82,11.73
,b) Diluted,468,3.33,3.40,14.76,11.68
