0,1,2,3,4,5,6,7,8
,,Standalone Quarter Ended,Standalone Year Ended,Consolidated Year Ended,,,,
Sr.,Particulars,31/03/2018,31/12/2017,31/03/2017,31/03/2018,31/03/2017,31/03/2018,31/03/2017
No.,Refer note 11,,Refer note 11,,,,,
,,(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Audited)
Ml,[2],m,14),[5],[6],17],m,[9J
1,Revenue from Operations,69.732,"61,761","58,959","2,51,389","2,30,251","2,51,389","2,30,251"
II,Other Income,"5,997",993,"1,561","10,575","5,592","10,575","5,592"
III,Total Income (1 + II),"75,729","62,754","60,520","2,61,964","2,35,843","2,61,964","2,35,843"
IV,Expenses,,,,,,,
,a) Cost of materials consumed,"17,826","16,299","16,454","65,535","64,755","65,535","64,755"
,b) Purchases of stock-in-trade,,176,-,176,428,176,428
,"Changes in inventories of finished goods, stock-in-trade and work-in-c)",,,,,,,
