0,1,2,3,4,5
,,Quarter ended,,Year ended,
PARTICULARS,31 March 2018,31 December 2017,31 March 2017,31 March 2018,31 March 2017
,(Audited),(Unaudited),(Audited),(Audited),(Audited)
1. INCOME,,,,,
a) Revenue from operations,701.36,624.05,758.18,"2,628.25","2,720.11"
b) Other income,8.91,5.16,7.36,23.51,25.34
Total income (1),710.27,629.21,765.54,"2,651.76","2,745.45"
2. EXPENSES,,,,,
a) Cost of materials consumed,123.59,115.96,105.17,483.15,403.95
b) Purchases of stock-in-trade,220.87,186.19,255.81,819.12,932.86
"c) Changes in inventories of finished goods, stock-in-trade and work-in-progress",7.28,0.37,11.46,(6.96),(12.87)
d) Excise duty,-,-,53.99,47.57,192.15
e) Employee benefits expense,62.56,62.34,53.07,247.54,220.52
f) Finance costs,0.84,1.12,0.63,4.48,3.54
g) Depreciation and amortisation expense,16.15,15.76,13.62,61.76,53.20
h) Power and fuel,99.39,81.88,78.74,335.66,266.04
i) Other expenses,81.30,75.14,85.63,274.28,278.80
Total expenses (2),611.98,538.76,658.12,"2,266.60","2,338.19"
3. Profit before exceptional items and tax (1-2),98.29,90.45,107.42,385.16,407.26
4. Exceptional items,-,-,-,3.61,â€œ
5. Profit before tax (3-4),98.29,90.45,107.42,381.55,407.26
6. Tax expense:,,,,,
a) Current tax,31.72,29.53,30.67,123.78,122.17
b) Deferred tax,0.89,1.34,6.36,5.45,14.93
7. Profit for the period (5-6),65.68,59.58,70.39,252.32,270.16
8. Other comprehensive income,,,,,
i) Items that will not be reclassified to profit or loss,0.90,(0.38),(1.03),(0.70),(1.03)
ii) Income-tax relating to items that will not be reclassified to profit or loss,0.08,-,0.36,0.08,0.36
9. Total comprehensive income for the period (comprising profit and othercomprehensive income for the period) (7+8),66.66,59.20,69.72,251.70,269.49
10.    Paid up equity share capital (face value : ? 1 per share)11.    Other equity,15.90,15.89,15.89,"15.901,360.67","15.891,163.80"
12. Earnings per equity share: (face value : ? 1 per share) (not annualised),,,,,
i) Basic,4.13,3.75,4.43,15.88,17.00
ii) Diluted,4.12,,4.42,15.83,16.95
