0,1,2,3,4,5
Particulars,3 months ended,Year Ended,,,
31/03/2018,31/12/2017,31/03/2017,31/03/2018,31/03/2017,
,Audited,Unaudited,Audited,Audited,Audited
Income,,,,,
Revenue from operations,462.60,500.78,418.50,"1,830.45","1,822.71"
Other income,6.00,64.69,15.49,73.01,66.95
Total Income,468.60,565.47,433.99,"1,903.46","1,889.66"
Expenses,,,,,
Cost of materials consumed,113.22,87.27,79.14,375.43,373.31
Purchases of stock-in-trade,13.44,26.34,15.55,73.01,59.23
"Changes in inventories of finished goods,work-in-progress and stock-in-trade",(32.55),4.95,(5.99),(49.15),7.29
Employee benefits expense,96.76,84.20,69.09,342.89,269.78
Finance costs,0.05,0.10,0.37,0.24,1.24
Depreciation and amortisation expense,15.92,14.34,18.87,57.14,59.48
Other expenses,156.32,144.44,127.32,541.46,478.68
Total Expenses,363.16,361.64,304.35,"1,341.02","1,249.01"
Profit before tax,105.44,203.83,129.64,562.44,640.65
Tax Expense,,,,,
Current Tax (net) (Refer note 4),20.60,39.92,19.45,114.60,136.98
Deferred Tax (net),6.34,(0.68),2.22,20.32,3.86
Profit after tax,78.50,164.59,107.97,427.52,499.81
Other Comprehensive Income (OCI),,,,,
Items that will not be reclassified subsequently to profit or loss,(1.86),(0.04),0.09,(1.99),(0.17)
Income tax relating to Items that will be reclassified to profit orloss,0.65,0.01,(0.03),0.69,0.06
"Other Comprehensive Income for the year, net of tax",(1.21),(0.03),0.06,(1.30),(0.11)
Total Comprehensive Income for the year,77.29,164.56,108.03,426.22,499.70
Paid-up Equity Share Capital (Face value of ? 2 each),17.69,17.69,17.69,17.69,17.69
Other Equity,,,,"1,913.81","1,486.25"
Earnings Per Share (Face value of ? 2 each),,,,,
(a) Basic - in ?,8.92,18.70,12.27,48.59,56.79
(b) Diluted - in ?,8.92,18.70,12.27,48.58,56.78
