0,1,2,3,4,5,6
Si.No,Particulars,Quarter Ended,Year Ended,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,,
,,(Audited) *,(Unaudited),(Audited) *,(Audited),(Audited)
1,Income,,,,,
,(a) Revenue from operations,"69,692","64,244","65,711","2,51,152","2,21,914"
,(b) Other income,293,365,710,"1,507","2,712"
,Total income,"69,985","64,609","66,421","2,52,659","2,24,626"
2,Expenses(a) Cost of materials consumed,"44,845","41,415","38,730","1,64,709","1,39,848"
,(b) Purchase of stock-in-trade,-,-,-,-,-
,(c) Changes in inventories of finished goods and work-in-Progress,(133),268,"4,351","(4,513)","(3,614)"
,(d) Employee benefits expenses,"5,957","6,180","5,083","23,305","19,413"
,(e) Finance costs,561,713,876,"3,049","4,503"
,(f) Depreciation and amortisation expenses,"2,397","2,501","2,859","10,497","11,743"
,(g) Other expenses,"7,358","6,104","5,628","24,656","21,702"
,Total Expenses,"60,985","57,181","57,527","2,21,703","1,93,595"
3,Profit before exceptional items and tax (1-2),"9,000","7,428","8,894","30,956","31,031"
4,Exceptional Items,-,-,-,-,-
5,Profit before tax (3+4),"9,000","7,428","8,894","30,956","31,031"
6,Tax expenses,,,,,
,a) Current tax,"2,850","1,656","1,989","8,263","7,502"
,b) Deferred tax,686,(325),(74),196,(313)
7,Net profit for the period (5-6),"5,464","6,097","6,979","22,497","23,842"
8,Other comprehensive incomeA (i) Items that will not be reclassified to profit or loss,46,,22,46,22
,(ii) Income tax relating to items that will not be,,,,,
,reclassified to profit or loss,(16),-,(7),(16),(7)
,B (i) Items that will be reclassified to profit or loss,-,-,-,-,-
,(ii) Income tax relating to items that will be,,,,,
,reclassified to profit or loss,-,-,-,-,-
9,Total comprehensive income for the period (7+8),"5,494","6,097","6,994","22,527","23,857"
10,Paid-up equity share capital (Face value of each),"3,695","3,695","3,695","3,695","3,695"
11,Total Reserves i.e. Other equity,,,,"1,29,977","1,08,111"
12,Basic and diluted Earnings per share (in ?) (Not annualisedfor quarters),7.39,8.25,9.35,30.44,31.71
