0,1,2,3,4,5,6,7,8,9
,Particulars,Standalone Results,,Consolidated Results,,,,,
Quarter Ended,Year Ended,,Year Ended,,,,,,
3 monthsended31.03.18,Preceding 3months ended31.12.17,Corresponding3 monthsended31.03.17,31.03.2018,31.03.2017,,31.03.2018,31.03.2017,,
(Audited)(Refer Noteno. 3),(Unaudited),(Unaudited),(Audited),(Audited),,(Audited),(Audited),,
1,Revenue from Operations,74862,70391,78368,289588,299451,,289565,299999
2,Other Income,1830,1195,1514,5352,7201,,5454,7307
3,Total Income (1+2),76692,71586,79882,294940,306652,,295019,307306
,Expenses,,,,,,,,
,(a) Cost of materials consumed,19530,3820,12587,51027,52358,,51082,52368
,(b) Purchases of Stock-in-Trade,19765,18548,25650,78842,79070,,78842,79070
,"(c) Changes in inventories of Finished Goods,",(7989),5653,(2144),(5794),7949,,(5793),8337
,Stock- in-Trade and Work-In-Progress,,,,,,,,
,(d) Excise Duty,,,2401,2419,9152,,2419,9152
,(e) Employee benefits expense,13170,12391,11764,52340,48301,,52340,48301
,(f) Finance Costs,19,-,25,19,25,,19,25
,(g) Depreciation and amortisation expense,936,1338,779,3799,2635,,3799,2635
,(h) Other expenses,14900,15798,14436,59910,60627,,60094,60872
4,Total expenses,60331,57548,65498,242562,260117,,242802,260760
5,Profit before exceptional items and tax (3-4),16361,14038,14384,52378,46535,,52217,46546
6,Exceptional Items (Refer Note no. 4),-,-,2586,1780,4573,,1780,4573
7,Profit before tax (5+6),16361,14038,16970,54158,51108,,53997,51119
8,Tax Expense,,,,,,,,
,(a) Current Tax,7222,5305,4432,20434,16297,,20434,16302
,(b) Deferred Tax,(1416),(236),1267,(1474),1133,,(1509),1135
9,Profit for the year / period (7-8),10555,8969,11271,35198,33678,,35072,33682
10,Other comprehensive income,,,,,,,,
,(i) Items that will not be reclassified to profit or loss,299,560,283,859,(531),,859,(531)
,(ii) Income tax relating to items that will not be,(106),(194),(98),(300),184,,(300),184
,reclassified to profit or loss,,,,,,,,
11,Total comprehensive income for the year / period,10748,9335,11456,35757,33331,,35631,33335
,(9+10),,,,,,,,
,Paid-up Equity Share Capital (Face value per share,8470,8470,8470,8470,8470,,8470,8470
,Rs. 10),,,,,,,,
,Other Equity,,,,199525,194351,,197263,192215
,Earnings Per Share (EPS) (of Rs. 10 each),,,,,,,,
,Basic and diluted EPS (Rs.),12.46,10.59,13.31,41.56,39.76,,41.41,39.76
,,Not Annualised,,,,,,,
