0,1,2,3,4,5,6
Sr.No.,Particulars,QuarterEnded31.03.2018(Audited)(Refer note 6),QuarterEnded31.12.2017(Unaudited),QuarterEnded31.03.2017(Audited)(Refer note 6),YearEnded31.03.2018(Audited),YearEnded31.03.2017(Audited)
1,Revenue from operations (Refer note 2),"27,140.11","24,876 60","25,648 56","1,07,021.23","1,04,602.34"
2,Other Income,"2,523 93",1.223.91,1.616 69,5.124.75,"4,964.51"
3,Total income (1+2),"29,664.04","26,100.51","27,265.25","1.12,145.98","1,09,566.85"
4,Expensesa) Cost of materials consumed,"5,976.05","6,956 77","6,017.59","27,710.97","26,752.95"
,b) Purchases of stock-in-trade,"2,155.46","1,976 78","1,136,51","7,850.55","7,153.32"
,"c) Changes In inventories of finished goods,stock-m-trade and work in progress","1,380.95","(1,594.16)","1,399.36",(563.53),(233.08)
,d)    Excise dutye)    Employee benefits expense,"(60.79)5,639.32","5,541 18","710.844,624.94","801.6221,546.69","3,711.3318,993.44"
,f) Finance costs,38.10,36.08,28.84,140 26,140.71
,g) Depreciation and amortisation expense,"840,07",040 15,884.84,"3,503 90","3,452.33"
,h) Other expenses,9.025.01,6.773.61,"6,376.21",27.764.85,"24,029 09"
,Total expenses,"24,994.17",20.530.41,"21,187.13","88,755.31","84,000.09"
5,Profit before exceptional Items and tax (3-4),"4,669.87","5,570.10","6,078.12","23,390.67","25,566.76"
67,Exceptional items (Refer note 5)Profit before tax (5-6),"4,669.87","5,570.10","6,078.12","23,390.67","588.4124,978.35"
8,Tax expensea) Current tax,"1,540.00","1,440.00","1,410.00","6,780 00","6,800 00"
,b) Deferred tax,(22.31),(135 89),(45.92),(220.74),"(334,41)"
,c) Tax adjustments of earlier years,,,(193.98),,(193.98!
9,Net profit after tax (7-8),"3,152.18","4,265.99","4,908.02","16,831.41","18,706.74"
10,Other comprehensive income(i) Items that will not be reclassified to profit or loss,(28.08),12.63,133.53,(54.94),2.36
,(II) Income tax relating to items that will not be reclassified to profit or loss,19.68,255,(21.47),27.33,10.19
,Total of other comprehensive income,(8.40),15.18,112.06,(27.61),12.55
11,Total comprehensive income for the period (9+10),"3,143.78","4,281.17","5,020.08","16,803.80","18,719.29"
12,Paid-up equity share capital (including forfeited shares) (Refer note 3),"1,751.89","1,786 19","1,786 19","1,751.89","1,786.19"
1314,Reserves excluding revaluation reservesBasic & diluted earnings per share (Rs.) (Face Value Re.l each),1.77,2.40,2.76,"1,24,487 049.47","1,24,585.8810.52"
,,Not annualised,Not annualised,Not annualised,Annualised,Annualised
