0,1,2,3,4,5,6,7
,,Consolidatec,,,,,
Sr.No.,Particulars,3 months ended,Financial year ended,,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,,,
,,Audited,Un-audited,Audited,Audited,Audited,
12,Revenue from operations ( Gross of Excise duty)Other income,"1,767.502.68","1,498.873.35","1,419.335.62","5,938.7011.11","5,288.8215.96",
3,Total Income (1+2),"1,770.18","1,502.22","1,424.95","5,949.81","5,304.78",
4,"Expenses(a)    Cost of materials consumed(b)    Purchases of stock-in-trade(c)    Changes in inventories of finished goods, work-in-progress and stock-in-trade(d)    Excise duty(e)    Employee benefits expense(f)    Finance costs(g)    Depreciation and amortisation expense(h)    Other expenses","1,343.9127.28(6.08)32.8853.6414.80243.93","1,132.0418.1936.9631.2925.6214.00185.22",933.6727.4517.74113.3428.1623.8413.25211.35,"4,405.5087.052.49120.17126.08140.0055.87792.87","3,559.2979.10(65.55)456.84107.37114.3644.97748.07",
Total expenses,"1,710.36","1,443.32","1,368.79","5,730.03","5,044.45",,
Less: Transfer to capital assets,0.27,2.36,10.50,2.99,13.07,,
Net total expenses,"1,710.09","1,440.96","1,358.29","5,727.04","5,031.38",,
5,Profit before tax,60.09,61.26,66.66,222.77,273.40,
6,Tax expense,,,,,,
,(a) Current Tax,22.95,19.51,26.07,75.03,92.25,
,(b) Deferred Tax,(2.89),2.21,0.08,3.00,4.51,
,(c) Taxes of earlier years,-,-,0.14,-,0.39,
7,Profit before Non-controlling interest/Share in net profit (loss) of associates,40.03,39.54,40.37,144.74,176.25,
,Share in net profit (loss) of associates / Others,-,-,(0.29),-,0.32,
8,Profit for the period,40.03,39.54,40.08,144.74,176.57,
9,Other comprehensive income (OCI),,,,,,
(A),Items that will not be reclassified to profit or loss,,,,,,
,(i) Items that will not be reclassified to profit or loss,0.79,(0.28),(0.80),(0.04),(1.11),
,(ii) Income tax relating to items that will not be reclassified to profit or loss,(0.27),0.10,0.28,0.01,0.38,
(B),Items that will be reclassified to profit or loss,,,,,,
,(i) Items that will be reclassified to profit or loss,(19.42),(3.51),15.37,(40.98),31.30,
,(ii) Income tax relating to items that will be reclassified to profit or loss,7.00,1.21,(5.32),14.46,(10.83),
10,Total comprehensive income for the period/year (8+9),28.13,37.06,49.62,118.19,196.31,
,Profit for the period/year attributable to,,,,,,
,a) Owners of the Company,40.03,39.54,40.08,144.74,176.57,
,b) Non-Controlling Interest,(0.00),0.00,-,(0.00),-,
,Other comprehensive income attributable to,,,,,,
,a) Owners of the Company,(11.90),(2.48),9.54,(26.54),19.74,
,b) Non-Controlling Interest,-,-,-,-,-,
,Total comprehensive income attributable to,,,,,,
,a) Owners of the Company,28.13,37.06,49.62,118.19,196.31,
,b) Non-Controlling Interest,(0.00),0.00,-,(0.00),-,
11,Paid-up equity share capital (Face value of the share ? 10 each),38.27,38.27,38.27,38.27,38.27,
12,Reserves excluding Revaluation Reserve as per balance sheet of previousaccounting year,,,,"1,069.99",99',7.85
13,Earnings Per Share (EPS) (?)- Basic and Diluted (not annualised),10.46,10.33,10.43,37.82,4,\..88
