0,1,2,3,4,5,6
Particulars,Three Months Ended,Year Ended,,,,
31-03-2018,31-12-2017,31-03-2017,31-03-2018,31-03-2017,,
(Audited){Refer Note 1(b)},(Unaudited),(Audited){Refer Note 1(b)},(Audited),(Audited),,
2,Revenue from Operations (Refer Note 9)Other Income (Refer Note 8),"17,437,95253.85",15.246.97216.25,"11,140.05269.36",57.338.20990.23,40.247.17947.76
3,Total Income (1+2),"17,691.80","15,463212","11,409.41",58328.43,"41,194.93"
4,Expenses,,,,,
,"Cost of Materials ConsumedPurchases of Stock-in-TradeChanges (Decrease / (Increase)] in Inventories of Finished Goods,Work-in-Progress and Stock-in-TradeEmployee Benefits ExpensePower and Fuel CostFreight and Handling ExpensesExcise DutyChange in Valuation of Liability in respect of Insurance PoliciesBenefits Paid - Insurance Business (net)Finance Cost relating to NBFC/NHFC's BusinessOther Finance CostsDepreciation and Amortisation ExpenseOther Expenses","3,272.24334.26123.791,158.552,664.482.352.31441.051,236.01812.68391.93770.742,335.30","3.078.04336.43135.581,157.552.223.221,941.4598.871,013.69746.38387.77715.582,036.07","2,335.37171.00254.30573.181.646.811,736.261.144.81176.30472.061,405.24","11,635.371,060.23(84.953.992.418,631.297.569.591,140.17357.223.429.592.299.491,359.132.724.367,416.93","8.688.85624.41161.752.265.595,795.416.092.094.178.77702.401.807.595,055.17"
,Total Expenses,"15,893.34","13,870.63","9,915.33","51,530.83","35,372.03"
5,"Profit from Ordinary Activities before Share in Profit/(Loss) of Equity AccountedInvestees, Exceptional Items and Tax (3 - 4)","1,798.46","1,592.59","1,494.08","6,797.60","5,822.90"
6,Add : Share in Profit/(Loss) of Equity Accounted Investees,(149.93),(316.88),(1.35),(727.44),129.41
7,Profit before Exceptional Items and Tax (5 + 6),"1,648.53","1,275.71","1,492.73","6,070.16","5,952-31"
8,Less : Exceptional Items (Refer Note 6),(313.69),-,-,(432.85),-
9,Profit before Tax (7 + 8),1334.84,"1,275.71","1,492.73","5,637.31","5,952-31"
10,Tax Expense (Net) (Refer Note 10)Current TaxDeferred Tax,392.2195.71,500.57(33.08),371.7657.35,"1,733.83213.29",1.345.99360.71
,Total Tax Expense,487.92,467.49,429.11,"1,947.12","1,706.70"
11,Net Profit for the period including profit of Life Insurance Business attributable toParticipating Policyholders (9-10),846.92,808.22,"1,063.62","3,690.19","4,245.61"
12,Less : Profit/(loss) attributable to participating policyholders of Life Insurance Business,(6.70),21.35,-,2.57,-
13,Net Profit for the period (11-12),853.62,786.87,"1,063.62","3,687.62","4,245.61"
,Other Comprehensive income (including related to Joint Ventures and Associates)(i)    Items that will not be reclassified to profit or loss(ii)    Income Tax relating to items that will not be reclassified to profit or loss(iii)    Items that will be reclassified to profit or loss(iv)    Income Tax relating to items that wall be reclassified to profit or loss,(525.19)(38.95)(2.67)9.70,434.88(3.43)(144.45)(12.05),453.21(17.05)(42.48)(6.65),(147.64)(55.98)(64.35)(10.73),"1,010.61(18.39)(28.89)0.11"
14,Other Comprehensive Income before income attributable to participating policyholdersof Life Insurance Business (Net of Tax),(557.11),274.95,387.03,(278.70),963.44
15,Less : Other Comprehensive Income attributable to participating policyholders of LifeInsurance Business,(0.17),-,-,(0.22),-
16,Other Comprehensive Income (14 - 15),(556.94),274.95,387.03,(278.48),963.44
17,Total Comprehensive Income (after tax) (13+16),296.68,"1,061.82","1,450.65","3,409.14","5,209.05"
,Net Profit attributable to :Owners of the CompanyNon-controlling interest,720.09133.53,543.18243.69,774.54289.08,"2,678.581.009.04",3.167.301.078.31
,,853.62,786.87,"1,063.62","3,687.62","4,245.61"
,Other Comprehensive Income attributable to :Owners of the CompanyNon-controlling interest,(571.91)14.97,353.99(79.04),409.95(22.92),(167.88)(110.60),951.4811.96
,,(556.94),274.95,387.03,(278.48),963.44
,Total Comprehensive Income attributable to :Ow ners of the CompanyNon-controlling interest,148.18148.50,897.17164.65,"1,184.49266.16","2,510.70898.44","4,118.781,090.27"
,,296.68,"1,061.82","1,450.65","3,409.14","5,209.05"
18/,3aid ugtqttily Sh^reCapital (Face Value 7 2 per share)Reserve excjudin^Reyaltktion Reserves as at Balance Sheet Date,131.48,131.47,93.37,"131.4857,230.37","93.3731,293.71"
Warnings per Share of Face Value 7 2/- each (not annualised),,,,,,
*,"â– iiDiluted(TT'3,__I_!r.nn>^-*.1 riLir/mch",10.9510.94,8.268.25,16.5916.57,44.2244.17,67.8567.77
"Financial Resultj ,>y / \ '",,,,,,
r ii/| s R BLLP,,,,,,
