0,1,2,3,4,5,6
,Particulars,Quarter ended,Year ended,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,,
Audited,Unaudited,Audited,Audited,Audited,,
1,Revenue from operations,,,,,
,(a) Net sales/ income from operations (refer note 3),"229,632","262,035","236,139","1,004,196","953,936"
,(b) Other operating income,"5,840","6,593","5,870","26,119","24,185"
,Total revenue from operations,"235,472","268,628","242,009","1,030,315","978,121"
2,Other Income,,,,,
,(a) Foreign exchange gain (net),295,"2,800","2,925","5,853","9,893"
,(b) Others,341,579,"2,197","2,212","3,702"
,Total other Income,636,"3,379","5,122","8,065","13,595"
,Total Income (1+2),"236,108","272,007","247,131","1,038,380","991,716"
3,Expenses,,,,,
,(a) Cost of materials consumed,"119,149","124,149","111,978","489,327","460,419"
,(b) Purchase of stock-in-trade,42,160,500,372,"1,121"
,"(c) Changes in inventories of finished goods, stock-in-trade and work-in-progress","(9,049)","1,110",52,"(33,418)","3,132"
,(d) Employee benefits expense,"31,739","28,318","25,250","113,164","92,730"
,(e) Finance costs,"1,741","1,321",906,"5,289","4,516"
,(f) Depreciation and amortisation expense,"9,155","9,028","7,338","35,483","28,617"
,(g) Other expenses,"45,803","48,461","46,230","193,869","183,324"
,Total expenses,"198,580","212,547","192,254","804,086","773,859"
4,Profit before tax (1+2-3),"37,528","59,460","54,877","234,294","217,857"
5,Tax expense,"6,699","15,028","9,331","53,017","47,181"
6,Net profit for the period (4-5),"30,829","44,432","45,546","181,277","170,676"
7,Other Comprehensive income / (expense) - items that will not be reclassified to profit or loss (netof tax),193,(137),30,(218),(561)
a,Total Comprehensive Income for the period (6+7),"31,022","44,295","45,576","181,059","170,115"
9,Paid-up equity share capital (face value Re. 1 per share),"5,859","5,859","5,859","5,859","5,859"
10,Other equity,,,,"992,399","837,759"
11,Earnings per equity share of Re. 1 each (not annualised),,,,,
,(a) Basic,5.26,7.58,7.78,30.94,29.16
,(b) Diluted,5.26,7.58,7.78,30.94,29.16
,,,,,,
