0,1,2,3,4,5,6
SI. No.,Particulars,3 months,3 months,3 months,Year,Previous Year
,,ended,ended,ended,ended,ended
,,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,,(Audited)(Refer note 8),(Unaudited),(Audited)(Refer note 8),(Audited),(Audited)
1,Income,,,,,
,Revenue from operations,"11,695","10,579","9,311","41,297","39,216"
,Other income,675,339,432,"2,062","1,571"
,Total income,"12,370","10,918","9,743","43,359","40,787"
2,Expensesa) Cost of raw materials and packing materials consumed,"4,239","3,587","3,405","14,450","13,224"
,b> Purchases of traded goods,409,697,306,"2,328","1,932"
,"c) Changes in inventories of finished goods, work-in-progress and",104,(46),(285),(417),(690)
,stock-in-trade,,,,,
,d) Excise duty,-,-,58,63,305
,e) Employee benefits expense,"2,570","2,353","1,939","9,311","7,470"
,f) Finance costs,169,147,50,615,260
,g) Depreciation and amortisation expenses,953,974,725,"3,851","2,772"
,h) Other expenses,"2,396","2,415","2,141","9,018","8,463"
,,"10,840","10,127","8,339","39,219","33,736"
,Less: Recovery of cost from co-development partners (net),(353),(644),(128),"(1,747)","(1,283)"
,Total expenses,"10,487","9,483","8,211","37,472","32,453"
3,"Profit before share of profit of joint venture and associates, exceptional itemsand tax (1-2)","1,883","1,435","1,532","5,887","8,334"
4,"Share of profit of joint venture and associates, net",51,62,55,213,163
S,Profit before tax and exceptional items (3-4),"1,934","1,497","1,587","6,100","8,497"
6,Exceptional items (net) [refer note 4 beiow),-,-,-,-,-
7,Profit before tax (5-6),"1,934","1,497","1,587","6,100","8,497"
8,Tax expense,407,361,103,"1,569","1,616"
9,Profit for the period / year before non-controlling interest (7-8),"1,527","1,136","1,484","4,531","6,881"
10,Non-controlling interest,(223),(217),(209),(807),(760)
11,Profit for the period (9-10),"1,304",919,"1,275","3,724","6,121"
12,Other comprehensive incomeA (i) Items that will not be reclassified to profit or loss,23,(14),(39),(19),(57)
,(ii) Income tax relating to items that v/ill not be reclassified to profit or loss,3,1,10,6,15
,B (i) Items that will be reclassified to profit or loss,(383),427,583,166,"1,175"
,(ii) Income tax relating to items that will be reclassified to profit or loss,114,(114),(165),-,(263)
,"Total other comprehensive income, net of tax",(243),300,389,153,870
13,Non-controlling interest,95,(103),(123),(23),(224)
14,Other comprehensive income attributable to Shareholders (12+13),(148),197,266,130,646
,Total comprehensive income attributable to:Shareholders of the Company,"1,156","1,116","1,541","3,854","6,767"
,Non-controlling interest,128,320,332,830,984
,Total comprehensive income,"1,284","1,436","1,873","4,684","7,751"
15,Paid-up equity share capital (Face value of Rs. 5 each),"3,000","3,000","1,000","3,000","1,000"
16,Reserves l.e. Other equity,,,,"48,808","47,377"
17,Earnings per share (of Rs. 5 each) (refer note 6 below),(not annualised),(not annualised),(not annualised),(annualised),(annualised)
,(a) Basic,2.21,1.56,2.16,6.31,10.39
,(b) DilutedSee accompanying notes to the financial results,2.19,1.55,2.14,6.27,10.32
