0,1,2,3,4,5
,Three months ended,Year ended,,,
Particulars,"March 31,2018","December31, 2017","March 31,2017","March 31,2018","March 31,2017"
,Refer Note5,Unaudited,Refer Note 5,Audited,Audited
Revenue from Operations,1688.40,1730.39,1681.97,6815.35,6779.55
Other Income,25.72,20.55,10.27,94.15,83.10
Total Income,1714.12,1750.94,1692.24,6909.50,6862.65
"Cost of Materials ConsumedPurchase of stock in tradeChanges in inventories of finished goods, work in progress and stock in tradeEmployee Benefits ExpenseFinance CostsDepreciation and Amortisation ExpensesAdvertisement and Sales chargesOther Expenses",797.56198.35(56.13)210.7013.5828.47135.28256.94,836.92110.63(20.04)206.718.5029.05126.68234.41,791.52117.18(77.45)213.2124.7731.20165.86286.19,3203.22542.89(46.80)821.3742.76116.04508.91946.85,"3205.82356.44(0.69)834.9591.53126.04584.651007,25"
Total Expenses,1584.75,1532.86,1552.48,6135*24,6205.99
Profit before Exceptional Items and Tax,129.37,218.08,139.76,774*26,656.66
Exceptional Items (Net),(1-65),(12.41),(42.50),(21.13),5.30
Profit before Tax,127.72,205.67,97.26,753.13,661.96
Tax Expense,(13.02),(19.56),(12.90),(185.87),(198.31)
Net Profit after Tax,114.70,186.11,84.36,567.26,463.65
Shane of net profity(loss) in Associates and Joint Ventures using equity method,(43.14),2.53,(33.24),(10.76),(8.85)
Group Consolidated Net Profit (A),71.56,188.64,51.12,556.50,454.80
Attributable to :Owners of the ParentNon Controlling Interest,59AS12.11,167.8720.77,31.4119.71,495.5660.94,389.4465.36
Other Comprehensive Incomei) Items that will not be reclassified to profit and lossRemeasurement of the defined benefit planChanges in fair valuation of equity instruments,16.33(0.99),20.348.31,30.96112.46,59.9759.40,10.24259.37
,15.34,28.65,143.42,119.37,269.61
ii) Items that will be reclassified to profit and lossExchange differences on translation of foreign operationsGains/(loss) on Effective portion of cash flow hedges,208.69(9.01),(75.74)2.75,(144.98)8.36,407.80(21.86),(567.36)19.78
,199.68,(72.99),(136.62),385.94,(547.58)
"Total Other Comprehensive Income, net of tax (B)",215.02,(44.34),6.80,505.31,(277.97)
Attributable bo:Owners of the ParentNon Controlling Interest,181.0533.97,(36.12)(8.22),20.59(13.79),436.3069.01,(198.83)(79.14)
Total Comprehensive Income (A+B),286.58,144.30,57.92,1061.81,176.83
Attributable to:Owners of the ParentNon Controlling Interest,240.5046.08,131.7512.55,52.005.92,931.86129.95,190.61(13.78)
Paid-up equity share capital (Face value of Re 1 each),63.11,63.11,63.11,63.11,63.11
Reserves excluding Revaluation Reserve,,,,6946.63,6180.53
Earnings per share (Basic & Diluted) (not annualised for the quarter) - Rs,0.94,2.66,0.50,7.85,6.17
