0,1,2,3,4,5,6
GARWARE-WALL ROPES LI MITED,,,,,,
,"Registered Office: Plot No. 11, Block D-l, MIDC, Chinchwad, Pune 411 019",,,,,
,"Tel.; (020) 30780000, Fax No.: (020) 30780341, Email: puneadmin@garwareropes.com",,,,,
,"If Website:www.garwareropes.com, CIN No. L25209MH1976PLC018939",,,,,
"RBG G !lu|!STATEMENT OF AUDITED CONSOLIDATED FINANCIAL RESULTS FOR THE QUARTER AND YEAR ENDED ON 31st MARCH, 2018",,,,,,
,,,,,,(Rs. in Lakhs)
Sr.,Particulars,Consolidated Quarter ended,Consolidated Year Ended,,,
No.,,31/03/2018,31/12/2017,31/03/2017,31/03/2018,31/03/2017
,,_(Audited),(Unaudited),(Audited),(Audited),(Audited)
PART 11.,Revenue from Operations,"23,479.69","20,146.60","21,206.07","88,549.56","84,930.70"
II.,Other Income,173.47,454.13,(107.03),"1,792.98",850.88
III.,Total income (1 + II),"23,653.16","20,600.73","21,099.04","90,342.54","85,781.58"
IV.,Expensesa. Cost of materials consumed,"5,343.73","7,796.26","6,290.45","27,086.85","27,330.32"
,b. Purchase of stock-in-trade,"1,364.62",115.70,980.52,"3,141.15","2,910.17"
,"c. Changes in inventories of finished goods, work in progress and stock-in-trade",651.70,(679.35),(514.89),"(1,166.05)",(932.28)
,d. Excise duty on sale of goods,0.36,0.67,212.71,88.56,343.64
,e. Employee benefits expense,"2,659.32","2,733.12","2,811.60","11,198.74","10,603.61"
,f. Finance Costs,225.92,306.16,189.08,997.69,653.55
,g. Depreciation and amortisation expense,400.57,388.78,359.85,"1,534.76","1,416.36"
,h. Other expenses,"8,909.62","6,721.78","7,834.04","32,152.24","31,131.93"
,Total Expenses,19355.84,"17,383.12","18,163.36",75.033.94,"73,457.30"
V.,Profit before exceptional Items and tax (lll-IV),"4,097.32","3,217.61","2,935.68",15.308.60,"12,324.28"
VI.,Exceptional Items,,,,.,
VII.,Profit before tax (V-VI),4.097.32,"3,217.61",2.935.68,15.308.60,"12,324.28"
VIII.,Tax Expenses,,,,,
,(1) Current Tax,839.03,"1,015.93",780.10,4.339.92,3.606.65
,(2) Deferred Tax,322.42,37.19,219.61,451.39,281.68
IX.,Profit for the period from Continuing Operation (VII-VIII),"2,935.87","2,164.49","1,935.97",10.517.29,"8,435.95"
X.,Profit/(loss) from discontinued operations,,-,-,,
XI.,Tax expense of discontinued operations,-,,-,-,.
XII.,Profit/(loss) from Discontinued operations (after tax) (X-XI),,,-,.,-
XIII.,Profit for the period (IX+XII),"2,935.87","2,164.49","1,935.97",10.517.29,"8,435.95"
XIV.,Share of Profit / (loss) of Associates,(0.03),(0.03),(0.01),(0.10),(0.03)
XV.,Profit for the period after tax and Share of profit / (loss) of Associates,2.935.84,"2,164.46","1,935.96",10.517.19,"8,435.92"
XVI.,Other Comprehensive Income,,,,,
a.,Items that will be reclassified to profit / (loss),(179.34),21.00,0-29),(147.45),115.59
b.,Items that will not be reclassified to profit / (loss),(166),(1.66),(5.47),(6.64),(21.88)
,Other Comprehensive Income (Net of Taxes),(181.001,19.34,(14.76),(154.09),93.71
XVII.,Total Comprehensive Income,"2,754.85","2,183.80",1.921.20,"10,363.10","8,529.63"
XVIII.,Total Comprehensive income above attributable to:,,,,,
a.,Owners of the Parent,"2,935.87","2,164.49",1.935.97,"10,517.29","8,435.95"
b.,Non-controlling interest,_12M,(0.03),(0.01),(0.10),(0.03)
XIX.,Of the total comprehensive Income above. Profit / (loss) for the year attributable to:,,,,,
a.,Owners of the Parent,(179.34),21.00,(9.29),(147.45),115.59
b.,Non-controlling interest,,,,.,
XX.,"Of the total comprehensive Income above, other comprehensive income for the yearattributable to:","2,754.87","2,183.83","1,921.21","10,363.20","8,529.66"
a.,Owners of the Parent,_l«M,(0.03),(0.01),(0.10),(0.03)
b.,Non-controlling interest,,,,,
XXI.,Paid-up Equity Share Capital (Face value Rs. 10/- each),"2,188.21","2,188.21","2,188.21","2,188.21","2,188.21"
XXII.,Other Equity,,,,51.487.76,"42,441.42"
XXIII.,Earnings Per Share of Rs. 10/- each (EPS) (for continuing and discontinuing operations) (Rs.)a) Basic EPS,13.42,9.89,8.85,48.06,38.55
,b) Diluted EPS,13.42,9.89,8.85,48.06,38.55
,,,,,,
1.,Segment Revenuea) Synthetic cordage,"20,163.93","17,044.64","19,395.04","75,399.07","72,646.85"
,b) Fibre and Industrial Products & Projects,"3,700.58","3,503.93","2,274.51",14.737.70,"14,042.25"
,Total,"23,864.51","20,548.57","21,669.55","90,136.77","86,689.10"
,Less: inter-Segment Revenue,(384.82),(401.97),(463.48),"(1,587.21)","(1,758.40)"
,Net Sales/In come from Operations,"23,479.69","20,146.60","21,206.07","88,549.56","84,930.70"
2.,Segment Results (Profit (+)/Loss(-) before tax and interest from each segment)a) Synthetic cordage,"4,053.87","3,312.59","3,443.88","15,237.40","12,885.83"
,b) Fibre and Industrial Products & P'ojects,506.51,497.15,436.64,"1,970.29","1,887.08"
,Total,"4,560.38","3,809.74","3,880.52","17,207.69","14,772.91"
,Less:,,,,,
,i) Interest,(225.92),(306.16),(189.08),(997.69),(653.55)
,ii) Other unallocable expenditure net off Unallocable Income,(237.14),(285.97),(755.76),(901.40),"(1,795.08)"
,Total Profit Before Tax,"4,097.32","3,217.61","2,935.68","15,308.60","12,324.28"
3.,Segment Assetsa) Synthetic cordage,"55,102.37","59,061.52","45,743.92","55,102.37","45,743.92"
,b) Fibre and Industrial Products & Projects,"10,186.50","10,436.95","10,011.70","10,186.50","10,011.70"
,C) Unallocable,"33,188.21","28,930.32","28,405.65","33,188.21","28,405.65"
,Total,"98,477.08","98,428.79","84,161.27","98,477.08","84,161.27"
4.,Segment Liabilitiesa) Synthetic cordage,"26,226.49","26,148.21","26,048.88","26,226.49","26,048.88"
,b) Fibre and Industrial Products & Projects,"3,941.22","3,978.09","2,501.62","3,941.22","2,501.62"
,C) Unallocable,"14,630.63","17,070.53","10,977.33","14,630.63","10,977.33"
,Total,"44,798.34","47,196.83","39,527.83","44,798.34","39,527.83"
S.,Capital Employed (Segment Assets - Segment Liabilities)a) Synthetic cordage,"28,875.88","32,913.32","19,695.04","28,875.88","19,695.04"
,b) Fibre and Industrial Products & Projects,"6,245.28","6,458.85","7,510.08","6,245.28","7,510.08"
,C) Unallocable,"18,557.58","11,859.79","17,428.32","18,557.58","17,428.32"
,Total,"53,678.74","51,231.96","44,633.44","53,678.74","44,633.44"
,,,,,"— ,",
