0,1,2,3,4,5
,Quarter ended,Quarter ended,Quarter ended,Year ended,Year ended
Particulars,March 31.2018,December 31.2017,March 3 1.2017,March 3 1.20 18,March 31.2017
,Audited,Un Audited,Audited,Audited,Audited
IncomeRevenue from operations,22479.90,20361.76,21017.98,82465.76,71406.04
Total Revenue from operations,22479.90,20361.76,21017.98,82465.76,71406.04
Other income,88.38,39.41,25.29,401.91,1 17.74
Total Income,22568.28,2M01.17,21043.27,82867.6T,71523.78
ExpensesCost of materials consumed,14160.75,12194.70,1 1200.86,51402.48,38474.73
Changes in inventories,58.75,(487.83),184.73,(1677.47),(426.00)
Employee benefits expense,1038.09,95 1.46,854.00,3725.54,3326.70
Finance costs,177.79,155.91,293.38,619.71,682.72
Depreciation and amortization expense,286.48,281.15,270.45,1 122.29,1067.06
Other expenses,3053.59,3083.89,3776.97,12549.72,13087.12
Total Expenses,18775.45,16179.28,16580.39,67742.28',56212.53
Profit before tax,3792.83,4221.89,4462.88,15125.39',15311.46
Tax expense(1) Current tax,1402.10,1400.00,1708.90,5252.10,5208.90
(2) Deferred tax,49.00,17.25,20.11,97.12,205.05
Net Profit for the Period,2341.73,2804.64,2733.87,9776.18,9897.50
Other comprehensive income (OCI)(a) (i) Items that will not be reclassified to profit or loss,(96.06),,(25.71),(96.06),(25.71)8.90
(ii) Tax on items that will not be reclassified to profit or loss,33.24,-,8.90,33.24,
(b) (i) Items that will be reclassilied to profit or loss,,,,,
(ii) Income tax relating to items that will be reclassified to profit or loss,,,,,
Total Other Comprehensive income,(62.81),-,(16.81),(62.81),(16.81)
Total Comprehensive income,2278.92,2804.64,2717.05,9713.36,9880.69
Earnings per equity share(Face value of Rs.2/- each),,,,7.357.35,7 44
(1)    Basic(2)    Diluted,1.761.76,2.1 12.1 1,2.062.06,7.44,
