0,1,2,3,4,5,6
,,Three month period ended,Year ended,,,
,Particulars,"March 31,2018","December 31, 2017","March 31, 2017","March 31,2018","March 31, 2017"
,,Audited (*),Unaudited,Audited (Â»),Audited,Audited
1,INCOME,,,,,
,(a) Revenue from operations,"9,293.44","9,058.11","8,647.13","38,617.27","37,363.12"
,"(b) Other income, net",416.65,148.42,180.00,886.27,"1,636.59"
,Total income,"9,710.09","9,206.53","8,827.13","39,503.54","38,999.71"
2,EXPENSES,,,,,
,(a) Employee costs,"4,983.96","4,221.78","4,301.77","18,586.73","18,108.63"
,(b) Travel related expenses,481.12,56C.84,502.59,"2,091.45","2,048.80"
,(c) Professional fees,373.84,478.21,472.50,"1,739.71","1,850.38"
,(d) Other expenses,618.61,388.54,600.96,"1,642.98","1,660.57"
,(e) Depreciation and amortisation,139.25,134.86,155.52,573.53,667.99
,Total expenses,"6,596.78","5,784.23","6,033.34","24,634.40","24,336.37"
3,Profit before exceptional item and tax,"3,113.31","3,422.30","2,793.79","14,869.14","14,663.34"
4,Exceptional item [Refer note 9],-,-,882.81,-,"2,162.59"
5,Profit before tax,"3,113.31","3,422.30","3,676.60","14,869.14","16,825.93"
6,Tax expenses(a) Current tax,"1,209.05","1,231.88",652.02,"4,775.76","4,383.88"
,(b) Deferred tax,129.80,(69.27),108.91,33.48,(438.92)
,Total tax expenses,"1,338.85","1,162.61",760.93,"4,809.24","3,944.96"
7,Net profit for the period,"1,774.46","2,259.69","2,915.67","10,059.90","12,880.97"
8,Other Comprehensive Income(a) Items that will not be reclassified subsequently to profit or loss,,,,,
,(i) Acturial gain (loss) on gratuity fund,6.33,35 73,34.39,44.61,(48.38)
,(ii) Deferred tax,(2.34),(12.37),(11.90),(15.59),16.74
,(b) Items that will be reclassified subsequently to profit or loss,,,,,
,(i) Exchange differences on translation of foreign operations,(1.41),1.69,134.71,3.77,44.62
,"Total other comprehensive Income for the period, net of tax",2.58,25.05,157.20,32.79,12.98
9,Total Comprehensive Income for the period,"1,777.04","2,284.74","3,072.87","10,092.69","12,893.95"
10,"Paid up equity share capital (face value ? 5 each, fully paid)",427.08,426 87,425.53,427.08,425.53
11,Reserve excluding Revaluation Reserves as per balance sheet,,,,"37,642.04","26,307.51"
12,"Earnings per share (face value ? 5 each, fully paid)(a) Basic (in ?)",20.78,26.48,34.27,117.91,151.57
,(b) Diluted (in ?),20.66,26.35,34.14,117.21,151.06
See,accompanying note to the financial results,,,,,
