0,1,2,3,4,5,6
Particulars,idThree MonthsEndod31st Mar 2018,(2)ProcedngThree MonthsEnded31 st Dec 2017,(3)Correspond*^Three MonthsEnded31st Msr 2017,(4)N*ie MonthsEnded31st Mar 2018,(5)CorrespondingNne MonthsEndod31st Mar 2017,(6)PreviousYear Ended30th June 2017
,(Unaudited),(Unaudited),(Unaudited),(Unaudited),(Unaudited),(Audited)
1 Revenue from operations (Rofer Note 3),45 154,40 752,53 454,1 26 709,1 35 065,1 78 824
2 Other income (Rofor Noto 4),100,200,844,418,3 202,3 782
3 Total Income (1+2),45 280,40 952,54 208,1 27 127,1 38 357,1 82 606
4 Expenses,,,,,,
(a) Cost of raw and packing materials consumed,2 893,4 725,11 139,11 149,20 177,37 345
(b) Purchases of stock-in-trade (Traded goods),13 985,13 687,8 922,40 462,31 441,43 299
(el Changes in inventories of finished goods. work-n-progress and stock-*!-trade,1 839,( 1 598),2 608,506,( 2D,( 2 040)
id) Excise dutv,—,—,965,—,2 485,5 464
(e) Employee benofits exponse,2 988,2 456,3 804,8 234,9 059,10 972
(f) Franco costs,84,139,205,334,406,674
(g) Depreciation expense,1 145,993,838,3 056,2 484,3 835
(h) Advertising & sales promotion expenses,6 122,5 689,5 121,16 396,15 783,23 037
(i) Other expenses,5 537,6 003,5 143,17 775,15 724,22 588
Total expensos,34 578,32 094,38 545,97 912,1 06 518,1 45 174
5 Profit before tax (3-4),10 684,8 858,15 753,29 215,31 830,37 432
6 Tax oxpenso,,,,,,
ta) Current tax,3 064,3 056,5 298,9 595,10 246,12 122
(b) Deforrod tax,486,( 75),( 127),177,52,2
Income tax exponse,3 552,2 981,5 171,9 772,10 298,12 124
7 Profit for tho period (5-fl),7 132,5 877,10 582,19 443,21 541,25 308
8 Other comprehonsivo income,,,,,,
Other comprehensive income not to be reclassified to profit or loss,,,,,,
Re- measurement of the defined employee benefit plans,668,( 293),( 83),102,( 192),( 1173)
Income tax effect,I 238),102,28,I 35),66,406
Total other comprehonsivo income,450,1 191),( S5|,67,( 126),1 767)
9 Total comprehonsivo incomo for tho period (7+8),7 582,5 686,10 527,19 510,21 415,24 541
10 Pad-up equity share capital (Faco Value T 10 per Equity Share),3 259,3 259,3 259,3 259,3 250,3 259
11Reservos as por balance sheet,,,,,,46 802
12 Earnings per sharo (Face value of ? 10/- por oquitv sharo) (not annualisod):,,,,,,
(a) Basic,21 89,1803,32 47,59 67,66 11,77.67
(b) Diluted,21 89,18 03,3247,59.67,06 11,77.67
Soo accompanying notes to tho Financial Rosults,,,,,,
