0,1,2,3,4,5
,-•QUvfttr muled . y,■. QWtrwf enttet . .,Quarter rrndrtMas** 3L 2017,•;. Yete coded■ Much31.20tt,r-TearcivMU. • •
Particulars,A wined(Rr&rfi6<*^,Addrttd,Awtired ;(fcrftr Note 9),AudW,"indited ,-s;"
IncomeRmennt: fmoi operation* (Ner - Refer Note 7)v )thcr income,1.05.1578321 A.2xt,1.01.293.9111913,"1,21,911.68410.65",428.979.85831.51,"420,541.1367876"
Total income,L05.371.09,L0M13.01,"1,22,322.33","4,29,81136",•WU19.R9
"E*pCn«*!.!•<: of rax mwh-nah consumedI’wcIik : of Mode an rraAeCharge'- in the imenturau of fuushed jrtxids, stock in trade and xork-in|»""(jro>cExcise duty i>r. vale nf^x.dii .mployci. benefit* expense.iiMr.ee i-ii*ts'.Vpi.'-iuii.n andajnorrix.ns.-n expense(expenses","76^63.8916 OS(1,154,52)3.7228*2,997.984.457.101Ifi,147,(17","Wi,818.2454.12(8756.01)3.727.042,197.754,729.4516.7S4.46","80,489.16228712,75102214.735,601.512,1 HO 854,171.07153*68 45",3.18/347.0*I4.5.H0(10.118 K3)241.1314.666.788.763.8417.364.4168.530.30,299.6719042185.163827823612696.7(17.019 6*14.287.4?64-363.12
Total expense,"1.04,651 HI",99.52S.05,"1.18,501.66","4.17,943-31","4.04,047.32"
Krofil before tax,719.28,"1,887.99",W20.67,"11,868.05","17,172.57"
Tax expense--    Current tax-    Adjustment <-f Ex ndatmg to earner period (Refer Note 5)-Deferred |i\(Not),126.22144'•'4,"416.18205. V,",7789(150.00)(8622),2.487 B22053691.27,3.61260(15000)170.84
Income Tax Expente,470 96,.390.36',(158 13),"2,784.45","3,633.44"
Profit for the period,24832,M77.63,3.979.00,"9,083.60","13,539.13"
Other Comprehensive Income:(i) Irt-mt one to he. rorI»«aifiod to pro hr or Inc* in snbxctjuent pervxfaHe jneasutenvent loju/firaini) eel employee defined benefit ptm*- Income uix effect,105.64.'36.561,,"(51.13)17""0",105.64(36 56),(51.13)1770
N’cT item* not TO he. rrcla«*ifieri w» profit or Ion; in euhaerjnentperiods,69.0ft,,(3343),69.08,(3343)
in)Other corttptcliomve income that wdl lx ice bonified to profit vi Ico*in tuhsevjucnt periodsNet movement in cash tl<nv lisd/cxIncome tax effect,42.11■14.5.1,11.88,(12.1*7)4.18,(4-«)1.65,(78.77)
N-.I irati* to bo rectified t>> profit-AIn** in *nh?Cipiei\r persrafe,27.54,777,(7.8f>),(3.11),(51.61)
Total tomptcllc-ttsive income lor lllC period,151.70,"1,489.86","4,020.32","9,017.63",
I'aid up I'jqintt share capital,1.522.02,1322.02,1.52202,"1,52202",1.52202
(Vhei Equity (excluding RevaJiunun reserve),,,,"35,017.06","13,139:27"
1 filming* I'erSIurc ( Face value of Re ]/- per abate) Nut annualised(a) Fas u.rt>: Diluted,o.to016,0.980-98,261261,5.965.96,RWA90
