0,1,2,3,4,5,6,7,8
Sr No,PARTICULARS,Standalone,Consolidated,,,,,
Quarter Ended,Year Ended,Year Ended,,,,,,
31.03.2018(Unaudited),31.12.2017(Unaudited),31.03.2017(Unaudited),31.03.2018(Audited),31.03.2017(Audited),31.03.2018(Audited),31.03.2017(Audited),,
1,Revenue from operations,757.76,619.93,551.45,"2,692.75","2,028.01",2.692.75,"2,028.01"
2,Other Income,7.45,"13,15",6.99,51.25,72.59,51.25,72.59
3,Total Income (1 + 2),765.21,633.08,558.44,"2,744.00","2,100.60",2.744.00,"2,100.60"
4,Expenses:,,,,,,,
,(a) Cost of materials consumed,264.19,244 09,252.75,968.27,889.38,968.27,889.38
,(b) Purchase of stock-in-trade,36.86,55.02,46.90,164.52,230.20,164.52,230.20
,"(c) Change in inventories of finished goods, work-in progress",,,,,,,
,and stock-in-trade,(59.40),(13.84),(53.85),12.03,(87.34),12.03,(87.34)
,(d) Excise duty,-,-,25.12,30.43,104.30,30.43,104.30
,(e) Employee benefits expense,21.74,19.22,21.95,87.31,88.58,87.31,88.58
,(f) Finance Costs,92.65,105.92,93.14,412.51,368.45,412.51,368.45
,(g) Depreciation and amortisation expenses,7.47,7.38,8.30,29.88,31.66,29.88,31.66
,(h) Impairment of Fixed Assets,-,-,-,-,2.43,.,2.43
,(i) Other expenses,265.70,204.05,148.43,848.61,524.13,848.61,524.13
,Total expenses,629.21,621.84,542.74,2.553.56,"2,151.79","2,553.56","2,151.79"
5,Profit / (Loss) before exceptional and tax (3 - 4),136.00,11.24,15.70,190.44,(51.19),190.44,(51.19)
6,Exceptional items,131.05,5.08,48.66,153.25,67.48,153.25,45.81
7,Share of Profit of Equity Accounted Investees (net of Income tax),,,,,,0.77,0.05
8,Profit / (Loss) before tax (5 - 6 + 7),4.95,6.16,(32.96),37.19,(118.67),37.96,(96.95)
9,Tax expense:,,,,,,,
,(i) Current tax,(6.00),-,29.57,_,29.57,.,29.57
,(ii) Short provision of tax of earlier year,-,2.78,,2.78,,2.78,
,(iii) Deferred tax,-,-,-,-,_,.,-
,Total tax expenses,(6.00),2.78,29.57,2.78,29.57,2.78,29.57
10,Profit / (Loss) for the period after tax (8 - 9),10.95,3.38,(62.53),34.41,(148.24),35.18,(126.52)
11,Other Comprehensive income (net of tax),,,,,,,
,A (i) Items that will be reclassified to profit or loss,-,-,-,.,.,,.
,(ii)Income tax relating to Items that will be reclassified to,,,,,,,
,profit or loss,-,-,-,-,-,-,-
,B (i) Items that will not be reclassified to profit or loss,,,,,,,
,- Fair Value changes of investments in equity shares,(395.14),322.56,404.13,280.54,605.86,280.54,605.86
,- Actuarial gain / (loss) on defined benefit obligation,5.87,(0.33),(1.50),5.36,(143),5.36,(1.43)
,(ii) Income tax relating to Items that will not be reclassified to,,,,,,,
,profit or loss,(125),0.07,0.32,(114),0.30,(1.14),0.30
,,(390.52),322.30,402.95,284.76,604.73,284.76,604.73
12,Totalcomprehensive income for the Period (10 + 11),(379.57),325.68,340.42,319.17,456.49,319.94,478.21
13,Net Profit / (Loss) attributable to:,,,,,,,
,a) Owners of the Company,10.95,3.38,(62.53),34.41,(148.24),35.18,(126.52)
,b) Non-controlling interests,-,-,-,.,",",_,
14,Other Comprehensive Income attributable to:,,,,,,,
,a)Owners of the Company,(390.52),322.30,402.95,284.76,604.73,284.76,604.73
,b) Non-controlling interests,-,-,-,.,,_,_
15,Total Comprehensive Income attributable to.,,,,,,,
,a)Owners of the Company,(379.57),325.68,340.42,319.17,456 49,319.94,478.21
,b) Non-controlling interests,-,â€™,-,-,-,-,-
16,Paid-up Equity Share Capital (Face value per share. ?2),41 31,41.31,41.31,41.31,41.31,41.31,41.31
17,Reserves excludingRevaluation Reserves,,,,595.34,293.57,595.57,293.03
18,Earnings per equity share of Rs. 2 each,,,,,,,
,Basic(Rs.),0.53,0.16,(3.03),1.67,(7.18),1.70,(6.13)
,Diluted(Rs.),0.53,0.16,(3.03),1.67,(718),1.70,(6.13)
