0,1,2
,For the year ended,
Particulars,31 March,31 March
,2018,2017
,(Audited),(Audited)
1 Income from operations,,
(a) Revenue from operations,"27,928.4","28,701.9"
(b) Other Income,437.9,489.5
Total income from continuing operations,"28,366.3","29,191.4"
2 Expenses,,
(a) Cost of materials consumed,"13,208.4","12,095.0"
(b) Purchase of stock-in-trade,"1,808.0","1,957.1"
"(c) Changes in inventories of finished goods, work-in-progressand stock-in-trade",244.5,(166.3)
(d) Excise Duty,734.9,"2,977.2"
(e) Employee benefits expense,"2,802.1","2,485.6"
(f) Finance Costs,35.0,31.9
(g) Depreciation and amortisation expense,582.2,543.1
(h) Other expenses,6.143.6,"6,068.0"
Total expenses of continuing operations,"25,558.7","25,991.6"
,,
3 Profit from continuing operations before exceptional items and tax(1-2),"2,807.6","3,199.8"
4 Exceptional Items - Income,20.0,37.7
5    Profit before tax from continuing operations (3+4)6    Tax expense,"2,827.6","3,237.5"
(a) Current Tax (Net),758.3,"1,023.1"
(b) Deferred Tax,16.7,(126.6)
7 Profit for the period from continuing operations (5-6),"2,052.6","2,341.0"
8 Discontinued Operations (Refer Note 5),,
Profit before tax,148.4,185.9
Tax expense,62.5,56.7
Profit after tax,85.9,129.2
Profit on sale of chemicals business,"2,442.4",-
Tax expense,579.5,-
Profit after tax from sale of chemicals business,"1,862.9",-
Profit for the period from discontinued operation,"1,948.8",129.2
9 Profit before tax for the period from combined operations,"5,418.4","3,423.4"
Tax expenses for the period from combined operations,"1,417.0",953.2
Profit for the period from combined operations,"4,001.4","2,470.2"
"10 Other comprehensive expense/(income), net of income tax from continuing operations",,
(A) (i) Items that will not be reclassified to profit or loss,67.6,(107.3)
(ii) Income tax relating to items that will not be reclassified toprofit or loss,(21.8),37.2
(B) (i) Items that will be reclassified to profit or loss,-,-
(ii) Income tax relating to items that will be reclassified to,,
profit or loss,,
"11Other comprehensive expense/(income), net of income tax from discontinued operations",,
(A) (i) Items that will not be reclassified to profit or loss,(2.8),(2.8)
(ii) Income tax relating to items that will not be reclassified to,1.0,1.0
profit or loss,,
(B) (i) Items that will be reclassified to profit or loss,-,-
(ii) Income tax relating to items that will be reclassified to,,
profit or loss,,
12 Total comprehensive income for the period,"4,049.0","2,398.3"
(i) ari sing from continuing operations,"2,098.4","2,270.9"
(ii) arising from discontinued operations,"1,950.6",127.4
13 Paid - up equity share capital (Shares of Rs 10 each),466.6,466.6
14 Earnings per share (of Rs. 10 each) (not annualised) from continuing and discontinued,,
operations:,,
(a) Basic,85.75,52.93
(b) Diluted,85.75,52.93
Earnings per share (of Rs. 10 each) (not annualised) from continuing operations:,,
(a) Basic,43.98,50.17
(b) Diluted,43.98,50.17
Earnings per share (of Rs. 10 each) (not annualised) from discontinued operations:,,
(a)    Basic(b)    Diluted,41.77,2.76
41.77,2.76,
