0,1,2,3,4,5
Particulars,3 months ended,Year Ended,,,
31/03/2018,31/12/2017,31/03/2017,31/03/2018,31/03/2017,
,Audited,Unaudited,Audited,Audited,Audited
Income,,,,,
Revenue from operations,530.31,587.05,476.81,"2,130.86","2,001.64"
Other income,5.24,15.15,5.70,24.16,23.86
Total Income,535.55,602.20,482.51,"2,155.02","2,025.50"
Expenses,,,,,
Cost of materials consumed,113.93,87.57,80.19,378.28,377.85
Purchases of stock-in-trade,20.33,22.08,7.14,77.35,47.36
"Changes in inventories of finished goods,work-in-progress and stock-in-trade",(40.50),0.34,4.93,(49.22),(10.62)
Employee benefits expense,105.15,95.22,75.50,376.47,295.42
Finance costs,0.11,0.14,0.39,0.41,1.36
Depreciation and amortisation expense,16.64,14.98,18.92,59.59,61.21
Other expenses,191.87,184.34,151.46,689.59,604.75
Total Expenses,407.53,404.67,338.53,"1,532.47","1,377.33"
Profit before tax,128.02,197.53,143.98,622.55,648.17
Tax Expense,,,,,
Current Tax (net) (Refer note 5),24.65,46.77,30.67,131.66,157.49
Deferred Tax (net),8.88,3.29,(0.71),22.25,(16.15)
Profit after tax,94.49,147.47,114.02,468.64,506.83
Other Comprehensive Income (OCI),,,,,
Items that will be reclassified subsequently to profit or loss,2.20,(0.75),(1.03),5.00,(2.42)
Income tax relating to Items that will be reclassified subsequentlyto profit or loss,-,-,-,-,-
Items that will not to be reclassified subsquently to profit or loss,(1.86),(0.04),0.09,(1.99),(0.17)
Income tax relating to items that will not be reclassified to profitor loss,0.65,0.01,(0.03),0.69,0.06
"Other Comprehensive Income for the year, net of tax",0.99,(0.78),(0.97),3.70,(2.53)
Total Comprehensive Income for the year,95.48,146.69,113.05,472.34,504.30
Paid-up Equity Share Capital (Face valueof X 2each),17.69,17.69,17.69,17.69,17.69
Other Equity,,,,"2,023.68","1,550.00"
Earnings Per Share (Face value ofX2 each),,,,,
(a) Basic - inX,10.74,16.76,12.96,53.26,57.59
(b) Diluted - inX,10.74,16.75,12.95,53.25,57.58
