0,1,2,3,4,5,6,7,8
,,,Quarter ended,Year ended,,,,
,,Particulars,"March 11,201a","December 31, 2017","March 31, 2017","March 31, 2018","Match 31, 2017",
,,,Audited,Unaudited,Audited,Audited,Audited,
,,,Refer Note 3,,Refer Note 3,,,
1,Income,,,,,,,
,(a) Revenue from operations,,788.16,881.49,715.42,3307.12,"2938,69",
,(b) Other income (Refer Note 6),,58.60,"19,00",15.45,"116,99","57,64",
,Total Income,,"846,96",900.49,73037,"3424,11",299633,
2,Expanses,,,,,,,
,U) Cost of materials consumed,,"70,35","82,66",71.73,295.72,"315,94",
,(b) Purchases of stodc-in-trade,,"347,43","571,82",269.97,1711.22,149756,
,"(c) Changes in inventories of finished goods, stodc-in-tradeand work-in-progress",,19.09,"(141,14)","80,62",1102.20),(10L44),
,(d) Exdse duty on sales (Refer Note 4),,,,9.76,8.62,"36,13",
,(e) Employee benefits expense,,"107,65","91,13",84.76,393.69,345.27,
,(f) Finance costs,,,721,51,"2,00",3*2,204
,(g)Depreciation and amortisation expense,,3.96,"4,22","3,84","16,19",16.43,
,(h) Other expenses,,142.22,113.68,135.71,"475,57",447.91,
,Total Expenses,,687.91,7Z2JS,6SSJ9,2S02.63,"2599,84",
3,Profit before tax (1-2),,"159,05","177,61","72,48","621,48","436,49",
4,Ttnopama,,,,,,,
,fa* Current tax expense,,58.36,"64,42","26,77",22331,156.88,
,(b) Tax adjustment for earlier years,,92,(7-5S),"4,96",(1.63),"4,96",
,(c) Deferred lax (Credit),,131),35,1131),(1621,12.00),
,Total Tax expenses,"53,97",62J2,30/42,220.26,15934,,
,,,,,,,,
s,Profit for the year (3-4),100.03,115.39,42^)6,401.22,"276,69",,
6,Other Comprehensive IncomeItems that will not be redassified subsequently to Profit orLou,,48,m>,(2.87),(1.88),"12,87]",
,Income taxon above,,115),25,99,60,99,
,"TotalOther Comprehensive Income, net of tax",>3,(47),(188),(lot),(138),,
,,,,,,,,
7,"Total Comprehensive Income for the year, net of tax(5*6)","100,41","114,92 *«","40,19","400,14","274,77",,
a,Paid-up Equity Share Capital (Face Value Rs.10 per EquityShar$l,,21.25,"21,75","21,25",2U5,"21,25",
9,Earnings par •Hui,ivihAf* fofA*. 1<V-«Khl (im(,,47.10,54.30,19.75,188.81,130.15
__,annualised!,.SISKEQ-F.QftJPENKfICAT,m,,,,,
