0,1,2,3,4,5
Particulars,Quarter Ended,,,,
Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,
Total revenues,"196,343","203,186","217,769","219,581","219,346"
Access charges,"20,287","19,539","25,603","25,016","22,761"
Cost of goods sold,"2,462","2,800","2,579","2,153","2,093"
Net revenues,"173,594","180,846","189,588","192,412","194,493"
"Operating Expenses (Excl Access Charges,cost of goods sold & License Fee)","86,528","88,128","90,384","93,847","94,175"
Licence Fee,"17,475","17,542","19,720","20,820","20,850"
EBITDA,"70,341","75,871","80,037","78,231","79,928"
Cash prof it from operations before Derivativeand B<change Fluctuations,"51,646","54,567","60,417","60,539","59,505"
EBT,"21,061","27,008","32,898","29,878","29,643"
Share of results of Joint Ventures/Associates,"1,836","2,256","3,662","2,855","2,508"
Profit before Tax,"4,416","8,381","12,988","14,816","12,515"
Profit after Tax (before exceptional items),"4,588","7,200","7,316","6,579","5,572"
Non Controlling Interest,"3,754","2,859","2,592","2,518","1,107"
Net income (before exceptional items),834,"4,341","4,724","4,060","4,465"
Exceptional items (net of tax),398,"1,593","1,455",402,865
Profit after tax (after exceptional items),"4,190","5,607","5,861","6,177","4,706"
Non Controlling Interest,"3,361","2,548","2,430","2,505",972
Net income,829,"3,058","3,430","3,673","3,734"
Capex,"62,824","64,657","74,838","65,857","38,082"
Operating Free Cash Flow (EBITDA - Capex),"7,517","11,214","5,199","12,374","41,847"
Cumulative Investments,"3,119,402","3,071,442","3,060,093","2,958,339","2,911,547"
,,,,,
,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17
As a % of Total revenues,,,,,
Access charges,10.3%,9.6%,11.8%,11.4%,10.4%
Cost of goods sold,1.3%,1.4%,1.2%,1.0%,1.0%
Net revenues,88.4%,89.0%,87.1%,87.6%,88.7%
"Operating Expenses (excluding accesscharges, cost of goods sold & license fee)",44.1%,43.4%,41.5%,42.7%,42.9%
Licence Fee,8.9%,8.6%,9.1%,9.5%,9.5%
EBITDA,35.8%,37.3%,36.8%,35.6%,36.4%
Cash profit from operations before Derivativeand Exchange Fluctuations,26.3%,26.9%,27.7%,27.6%,27.1%
EBT,10.7%,13.3%,15.1%,13.6%,13.5%
Share of results of JV / Associates,0.9%,1.1%,1.7%,1.3%,1.1%
Profit before Tax,2.2%,4.1%,6.0%,6.7%,5.7%
Profit after Tax (before exceptional items),2.3%,3.5%,3.4%,3.0%,2.5%
Non Controlling Interest,1.9%,1.4%,1.2%,1.1%,0.5%
Net income (before exceptional items),0.4%,2.1%,2.2%,1.8%,2.0%
Profit after tax (after exceptional items),2.1%,2.8%,2.7%,2.8%,2.1%
Non Controlling Interest,1.7%,1.3%,1.1%,1.1%,0.4%
Net income,0.4%,1.5%,_16%,1.7%,1.7%
