0,1,2,3,4,5,6,7,8,9,10,11
S. Nc,Particulars,AIS (Standalone),AIS (Consolidated),,,,,,,,
,,Quarter Ended,Year Ended,Quarter Ended,Year Ended,,,,,,
,,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,,(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Unaudited),(Audited),(Audited),(Audited)
1,Revenue from Operations,,,,,,,,,,
,a. Sales / Income from Operations,73142,62394,64813,263336,2S3054,74454,63194,65810,267407,256840
,b. Other Operating Income,(310),844,1814,723,"1,849",(227),844,1867,922,2007
,Total Revenue from Operations (a+b),72832,63238,66627,264059,254903,74227,64038,67677,268329,258847
2,Other Income,672,711,781,2150,1146,638,679,705,2006,1008
3,Total Income (1 ♦ 2),73504,63949,67408,266209,256049,74865,64717,68382,270335,259855
4,Expenses,,,,,,,,,,
,a. Cost of Raw Materials Consumed,23135,22727,20213,87525,81524,23502,22834,20240,88836,82466
,b. Purchases of Stock - in -Trade,433,531,1192,3393,4528,560,631,1802,3785,5649
,"c. Change in Inventories of Finished Goods, Work-in-Progress and Stock in Trade",649,(2845),578,607,(3186),771,(2869),S27,650,(3455)
,d. Excise Duty,-,-,7745,4586,22378,-,-,7769,4605,22483
,e. Power & Fuel,10137,8621,6619,326S5,26045,10219,8700,6675,32946,26292
,f. Employee benefits Expenses,6575,6397,6031,25245,22359,6978,6788,6396,26784,23797
,g. Depreciation & Amortisation Expense,2791,2254,1760,9178,7617,2871,2326,1809,9477,7917
,h. Finance Cost,3157,3092,3863,12308,14376,3183,3109,3871,12374,14420
,1. Other Expenses,17450,16349,12370,61980,S6592,18084,16794,12802,63919,58255
,Total Expenses ( a to i),64327,57125,60371,237477,232233,66168,58313,61891,243376,237824
5,Profit before Exceptional and Extraordinary Items andTax (3) - (4),9178,6824,7037,28732,23816,8698,6404,6491,26958,22032
6,Share of Profit of the Associates,-,•,-,-,-,126,80,132,396,395
7,Exceptional Items,(488),-,(20),(488),(158),(488),•,(20),(488),(158)
8,Profit Before Tax ( 5 ) ♦ (6) ♦ (7),8690,6824,7017,28244,23658,8336,6484,6603,26866,22269
9,Tax Expense,(3034),(2270),(3952),(9709),(8854),(2908),(2168),(2395),(9299),(7298)
10,Net Profit for the Period (8) - (9),5656,4554,3066,18535,14804,5428,4316,4208,17567,14971
,,,,,,,,,,,
11,"Other Comprehensive Income, Net of Tax",,,,,,,,,,
,- Items that will/will not be reclassified to profit 8i Loss,(185),117,35,(ID,21,(189),117,33,(16),17
12,Total Comprehensive Income for the Period (10) ♦ (11),S471,4671,3101,18524,14825,5238,4433,4241,17551,14988
13,Net Profit Attributable to,,,,,,,,,,
,- Owners,,,,,,5467,4361,4015,17738,14956
14,- Non Controlling Interest,,,,,,(39),(45),193,(171),15
"Other Comprehensive Income, Net of Tax attributable to",,,,,,,,,,,
,• Owners,,,,,,(189),117,33,(16),17
,- Non Controlling Interest,,,,,,•,-,-,-,•
IS,Total Other Comprehensive Income attributable to,,,,,,,,,,
,- Owners,,,,,,5277,4478,4048,17722,14973
,- Non Controlling Interest,,,,,,(39),(45),193,(171),15
,,,,,,,,,,,
16,Paid up Equity Share Capital (Face value of Re. 1/- each),2431,2431,2431,2431,2431,2431,2431,2431,2431,2431
17,Earning Per Share (not annualised),,,,,,,,,,
,(a) Basic,2.33,1.87,1.26,7.62,6.09,2.25,1.79,1.65,7.30,6.15
,(b) Diluted,2.33,1.87,1.26,7.62,6.09,2.25,1.79,1.65,7.30,6.15
