0,1,2,3,4,5,6,7,8
,,,,Quarter ended,Year ended,,,
,Sr. No,,Particulars,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,,,,Audited(refer note 8),Unaudited,Audited(refer note 81,Audited,
,1,Revenue from operations,,,,,,
,,a) Gross sales,,"20,027","17,669","17,549","70,091","59,560"
,,b) Other operating income,790,192,368,"1,412",976,
,,Total Revenue from operations,"20,817","17,861","17,917","71,503","60,536",
,11,Other Income,,45,42,56,167,152
,III,Total Income (l+ll),"20,862","17,903","17,973","71,670","60,688",
,IV,Expenses,,,,,,
,,a) Cost of materials consumed,"10,761","9,695","9,421","38,779","29,749",
,,b) Purchases of stock-in-trade,,,-,2,,
,,"c) Changes in inventories of finished goods, work-in-progress and",58,369,(119),244,"(1,486)",
,,stock-in-trade,,,,,,
,,d) Employee benefits expense,471,460,407,"1,843","1,700",
,,e) Finance costs,883,923,947,"3,701","3,768",
,,f) Depreciation and amortisation expense,865,852,878,"3,387","3,430",
,,g) Excise duty expenses,,,"1,261","1,278","4,932",
,,h) Rower and fuel,"1,515","1,437","1,389","5,697","4,883",
,,i) Other expenses,"2,722","2,049","2,394","8,866","8,584",
,,Total expenses (IV),"17,275","15,785","16,578","63,797","55,560",
,V,Profit before exceptional items and tax (lll-IV),"3,587","2,118","1,395","7,873","5,128",
,VI,Exceptional Items (refer note 2),. -,264,-,264,-,
,VII,Profit before tax (V-VI),"3,587","1,854","1,395","7,609","5,128",
,VIII,Tax expense,,,,,,
,,a) Current tax,937,376,(51),"1,826",152,
,,b) Deferred tax (refer note 3),(222),(282),450,(288),"1,522",
,IX,Net Profit after tax for the period / year (VII-VIII),"2,872","1,760",996,"6,071","3,454",
,X,Share of profit / (loss) from an associate,-,-,-,-,(9),
,XI,Share of profit from joint ventures (net),7,14,12,42,22,
,XII,Net Profit for the period / year (IX+X+XI),"2,879","1,774","1,008","6,113","3,467",
,XIII,Other comprehensive income (OCI)(A)(i) Items that will not be reclassified to profit or loss,(206),190,16,87,(88),
,,(ii) Income tax relating to items that will not be reclassified to,(2),1,2,2,7,
,,profit or loss,,,,,,
,,(B)(i) Items that will be reclassified to profit or loss,(291),257,531,(425),674,
,,(il) Income tax relating to items that will be reclassified to profit,97,(76),(139),150,(223),
,,or loss,,,,,,
,,Total other comprehensive income/(loss),(402),372,410,(186),370,
,XIV,Total comprehensive income for the period / year (ComprisingProfit and Other comprehensive income for the period/year),"2,477","2,146","1,418","5,927","3,837",
,,(XII+XIII),,,,,,
,XV,Net Profit / (loss) for the period/year attributable to:-Owners of the Company,"2,996","1,753","1,014","6,214","3,523",
,,-Non-controlling interests,(117),21,(6),(101),(56),
,,,,"2,879","1,774","1,008","6,113","3,467"
,XVI,Other comprehensive income/(loss)-Owners of the Company,(394),362,398,(184),365,
,,-Non-controlling interests,(8),10,12,(2),5,
,,,,(402),372,410,(186),370
,XVII,Total comprehensive income/(loss) for the period/yearattributable to:-Owners of the Company,"2,602","2,115","1,412","6,030","3,888",
,,-Non-controlling interests,(125),31,6,(103),(51),
,,,hare Capitali- 1 per share),"2,477","2,146","1,418","5,927","3,837"
SIGNED FORIDBV\V,=OTi,,241,241,240,241,240,
XIX,Other Equity e>,eluding Revaluation Reserves,,,,"27,696","22,346",
,XX,Earnings per ec,uily share (not annualised),,,,,
SRBC&MUM,COÂ§AL,Basic (Rs.)wWeel (Rs.),,12.4512.40,7.287.25,4.224.20,25.8525.71,14.6614.58
