0,1,2,3,4,5
"Statement of audited standalone financial results for the quarter and year ended March 31, 2018",,,,/ ?in lakhs),
Particulars,Quarter ended,Quarter ended,Quarter ended,Year ended,Year ended
,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,(Unaudited),(Unaudited),(Audited),(Audited),(Audited)
,(see note 8),,(see note 8),,
1 Income,,,,,
(a) Revenue from operations (see note 3),1741,733,1445,19744,15922
(b) Other income,550,6,-,1054,-
Total income,2291,739,1445,20798,15922
II Expenses,,,,,
(a) Employee benefits expense,251,235,390,1230,1124
(b) Finance costs,-,-,27,30,273
(c) Depreciation and amortisation expense,127,420,131,524,525
(d) Provisions and contingencies,373,133,(27),1467,4952
(e) Other expenses,298,54,111,1395,1155
Total expenses,1049,842,632,4646,8029
III Profit /(Loss) before tax (l-ll),1242,(103),813,16152,7893
IV Tax expense,,,,,
(a) Current tax (MAT*),638,225 *,385,1493,2310
(b) Minimum Alternate Tax (MAT) credit,100,(52),-,-,-
(c) Deferred tax,(177),(2),8,(184),8
Total tax expense,561,171,393,1309,2318
V Profit /(Loss) after tax (lll-IV),681,(274),420,14843,5575
VI Paid-up equity share capital (see note 4),159635,159594,159594,159635,159594
(Face value ? 10 each),,,,,
VII Reserves excluding revaluation reserves,-,-,-,816425,805435
VIII Earnings per share (see note 4),,,,,
(a) Basic (?) (not annualised),0.04,(0.01),0.03,0.93,0.35
(b) Diluted (?) (not annualised),0.04,(0.01),0.03,0.93,0.35
Face value per share (?),10,10,10,10,10
