0,1,2,3
,,Year Ended,
Sr.No.,,31/03/2018,31/03/2017
Particulars,Audited,AuditedRestated(Refer note 41,
1,Income from Operationsa)    Revenue from operationsb)    Other operating incomec)    Other income,"1,022,759.528,821.9420,098.24","961,369.869,917.5219,515.30"
,Total income from Operations,"1,051,679.70","990,802.68"
2,"Expensesa)    Cost of materials consumedb)    Purchase of stock-in-tradec)    Changes in inventories of finished goods,work-in-progress and stock-in-tradedl Excise duty on sale of goods (Refer note 5)e)    Employee benefits expensef)    Finance costsg)    Depreciation and amortisation expenseh)    Other expenses","499,491.43123,557.73428.157,790.0353,052.645,504.6715,349.48203,434.27","491,565.3384,080.01(8.24)27,875.9446,713.854,342.1913,084.12194,978.57"
,Total expenses,"908,608.40","862,631.77"
3,Profit before share of profit of associates [1-2],"143,071.30","128,170.91"
4,Share of (loss)/profit on associates,"(11,904.06)",25.48
5,Profit before tax [3+4],"131,167.24","128,196.39"
6,Tax expensea)    Current Taxb)    Deferred Tax,"54,149.63(247.55)","40,314.952,034.65"
,Total tax expenses,"53,902.08","42,349.60"
7,Profit after tax [5-6],"77,265.16","85,846.79"
8,Other Comprehensive Income (net of tax),,
,a)    Items that will not be reclassified to profit or lossb)    Income tax relating to items that will not be reclassified to profit or lossc)    Items that will be reclassified to profit or loss,(363.51)36.00644.24,"4,685.868.003,979.00"
,,316.73,"8,672.86"
9,Total Comprehensive Income for the year (after tax) [7+8],"77,581.89","94,519.65"
10,Profit attributable toa)    Owners of the Companyb)    Non controlling interest,"27,739.7649,525.40","42,176.4543,670.34"
,,"77,265.16","85,846.79"
11,Other comprehensive income attributable toa)    Owners of the Companyb)    Non controlling interest,327.08(10.35),"8,783.00(110.14)"
,,316.73,"8,672.86"
12,Total comprehensive income attributable toa)    Owners of the Companyb)    Non controlling interest,"28,066.8449,515.05","50,959.4543,560.20"
,,"77,581.89","94,519.65"
13,Paid-up equity share capital (face value of Rs. 2 each),"1,395.44","1,395.44"
14,Other Equity,"394,968.14","366,449.71"
15,Earnings per share (ofRs.2/- each) (not annualised) :a)    Basicb)    Diluted,39.7639.76,60.4560.45
