0,1,2,3,4,5,6,7
,Standalone,,Consolidated,,,,
Particutars,Quarter ended,Quarter ended,Quarter ended,Year ended,Year ended,Year ended,Year ended
,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017
,Audited,Unaudited,Unaudited,Audited,Audited,Audited,Audited
A. FINANCIAL PERFORMANCE,,,,,,,
Income,,,,,,,
1. Revenue from ORprations (Refer Note No.A &8),"76,066.96","70,195.16","66,023.22","2,77,162.23","2,42,047.82","2,79,312.70","2,43,747.46"
II. Other income,832.93,727.40,662.39,"3,010.88","2,600.68","1,782.72","1,814.57"
III. Total Income (1 + 11},"76,899,89","70,922.56","66,685.61","2,80,173.11","2,44,648.50","2,81,095.42","2,45,562.03"
IV.Expenses,,,,,,,
Cost of materials consumed,"25,430.00","21,449.89","18,206.72","81,467.45","67,710.71","90,110.77","75,112.16"
Purchase of stock-in-trade,"32,669.94","31,463.64","34,037.20","1,25,462.73","1,14,220.09","1,11,797.58","1,02,131.17"
"Changes in inventories of finished goods, stock-in-trade and work-in-","(1,267.30)",120.18,"(1,767.39)",320.60,"(5,577.61)",203.35,"(5,832.38)"
progress,,,,,,,
Excise Duty,"10,827.65","9,578.80","8,986.74","40,849.13","39,837.25","43,542.88","42,496.80"
Employee Benefits Expense,957.08,776.58,"1,436.79","3,430.98","3,429.46","3,748.53","3,669.52"
Finance costs,219.38,200.20,147.51,833.25,495.87,"1,185.74",696.36
Depreciation and Amortization Expense,741.25,677.43,523.84,"2,648.48","1,891.32","2,885.00","2,107.64"
Other Expenses,"3,728.03","3,617.83","2,91089","13,962.48","11,598.62","14,736.93","12,424.54"
Total Expenses (IV),"73,306.03","67,884.55","64,482.30","2,68,975.10","2,33,605.71","2,68,210.78","2,32,805.81"
V. Profit before Tax (III - IV),"3,593,86","3,038.01","2,203.31","11,198.01","11,042.79","12,884.64","12,756.22"
VI Share of profit of equity accounted investee (net of income tax),,,,,,"1,288.88","943,39"
VII. Tax expense:,,,,,,,
1. Current Tax,622.00,611.00,469.00,"2,110.00","2,210.00","3,195.36","3,168.28"
"2, Deferred Tax",462.66,382.00,(49.84),"1,434.66",904.73,"1,452.24","1,13S.60"
3 Short/(Excess) provision of earlier years,(164.44),(98.73),(57.53),(265.99),(111.24),(265.99),(111.24)
Total Tax Expense (VII),920.22,894.27,361.63,"3,278.67","3,003.49","4,381.61","4,192.64"
,,,,,,,
VIII. Profit for the period (V+Vl- VII),"2,673.64","2,143.74","1,841.68","7,919.34","8,039.30","9,791.91",9.506.97
IX. Other Comprehensive Income (OCI),,,,,,,
(i) Items that will not be reclassified to profit or loss,,,,,,,
(a) Items that will not be reclassified to profit or loss,(164.59),122.73,12.87,26.00,107.52,21.79,100.62
(b) Income tax relating to items that will not be reclassified to,25.21,(30.31),(5.84),(16.89),24.91,(15.36),27.26
profit or loss,,,,,,,
(ii) Items that will be reclassified to profit or loss,,,,,,,
(a) Items that will be reclassified to profit or loss,,,,,,447.82,202.97
Total Other Comprehensive Income (IX),(139.38),92.42,7.03,9.11,132.43,454.25,330.85
,,,,,,,
X. Total Comprehensive Income for the period (VIII+IX),"2,534.26","2,236.16","1,848.71","7,928.45","8,171.73","10,246.16","9,837.82"
Profit attributable to:,,,,,,,
Owners of the company,,,,,,"9,008.63","8,720.94"
Non-Controlling Interests,,,,,,783.28,786.03
Profit for the period,,,,,,"9,791.91","9,505.97"
Other Comprehensive Income attributable to :,,,,,,,
Owners of the company,,,,,,455.35,332.33
Non-Controlling interests,,,,,,(1.10),(1.48)
Other Comprehensive income for the period,,,,,,454.25,330.85
Total Comprehensive income attributable to :,,,,,,,
Owners of the company,,,,,,"9,463.98","9,053.27"
Non-Controlling Interests,,,,,,782.18,784.55
Total Comprehensive Income for the period,,,,,,"10,246.16","9,837.82"
XL Paid up Equity Share Capital (Face value ? 10 each) (Refer Note 6),"1,966.88","1,966.88","1,311.25","1,966.88","1,311.25","1,966.88","1,311.25"
XII. Other Equity excluding revaluation reserves,-,,,"32,185.12","28,357.13","34,651.69","29,508.50"
XIII. Basic and Diluted Earnings Per Share (?) (Face value ?10) (not annualised),13.59,10.90,9.36,40.26,40.87,45.80,44.34
(Refer Note 6),,,,,,,
B. PHYSICAL PERFORMANCE,,,,,,,
1. Crude Throughput (MMT),7.85,7.27,6.02,28.54,25.39,34.72,31.24
2. Market Sales (MMT),10.73,10.65,9.26,41.21,37.68,41.38,37.74
3. Sales Growth (%),15.87,9.12,(5.32),9.37,3.15,9.64,2.48
4. Export Sales (MMT),0.34,0.58,0.81,1.99,2.49,2.02,2.50
