0,1,2,3,4,5
Particulars,Quarter Ended,,,,
Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,
Total revenues,"147,955","152,942","167,282","172,436","170,356"
Access charges,"16,772","15,290","21,302","20,321","17,834"
Cost of goods sold,825,"1,260",801,795,715
Net revenues,"130,358","136,392","145,178","151,319","151,807"
"Operating Expenses (Excl Access Charges,cost of goods sold, License Fee & CSR Costs)","64,025","64,716","65,741","69,467","67,599"
Licence Fee,"14,378","14,696","16,633","17,506","17,635"
ffilTDA,"52,372","57,658","63,241","64,702","66,986"
ffirr,"10,133","16,257","24,938","25,230","26,143"
Profit before Tax,"(7,193)","2,159","7,085","9,232","13,422"
Profit after Tax (before exceptional items),"(4,484)","2,783","3,587","4,611","9,203"
Non Controlling Interest,"2,039","1,831","2,373","2,522","1,494"
Net income (before exceptional items),"(6,523)",952,"1,214","2,089","7,708"
Capex,"46,224","59,601","71,440","62,418","28,497"
Operating Free Cash Flow (EBITDA - Capex),"6,149","(1,943)","(8,199)","2,284","38,490"
Cumulative Investments,"2,514,977","2,477,472","2,422,553","2,334,085","2,297,615"
,,,,,
,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17
As a%of Total revenues,,,,,
Access charges,11.3%,10.0%,12.7%,11.8%,10.5%
Cost of goods sold,0.6%,0.8%,0.5%,0.5%,0.4%
Net revenues,88.1%,89.2%,86.8%,87.8%,89.1%
"Operating E<penses (E<cl Access Charges,cost of goods sold, License Fee & CSR Costs)",43.3%,42.3%,39.3%,40.3%,39.7%
Licence Fee,9.7%,9.6%,9.9%,10.2%,10.4%
ffirTDA,35.4%,37.7%,37.8%,37.5%,39.3%
mrr,6.8%,10.6%,14.9%,14.6%,15.3%
Profit before Tax,-4.9%,1.4%,4.2%,5.4%,7.9%
FTofit after Tax (before exceptional items),-3.0%,1.8%,2.1%,2.7%,5.4%
Non Controlling Interest,1.4%,1.2%,1.4%,1.5%,0.9%
Net income (before exceptional items),-4.4%,0.6%,0.7%,1.2%,4.5%
