0,1,2,3,4,5,6
Sr.,Particulars,Audited,Unaudited*,Audited,Audited,
No.,,Quarter ended,Year ended,,,
,,"March 31, 2018","December 31, 2017","March 31, 2017","March 31, 2018","March 31, 2017"
1,Revenue from operations,"63,976","72,148","60,121","269,814","244,472"
II,Other Income (Net),"1,251",660,"1,101","3,312","3,803"
III,Total Income (1 + II),"65,227","72,808","61,222","273,126","248,275"
IV,ExpensesCost of materials consumed,"30,091","30,962","24,239","114,337","108,704"
,Purchases of stock in trade,"3,911","8,777","5,347","25,564","20,705"
,"Changes in inventories of finished goods, work inprogress and stock in trade",(200),(1.126),(36),777,605
,Excise duty on sale of goods,-,-,897,816,"3,465"
,Employee benefits expense,"10,598","10,850","10,878","44,974","41,393"
,Finance costs,28,*,25,28,26
,Depreciation and amortisation,425,362,411,"1,520","1,635"
,Other expenses (Net),"11,555","13,442","11,542","46,987","41,011"
,Total expenses (IV),"56,408","63,267","53,303","235,003","217,544"
,Profit / (loss) before exceptional items and tax (III-,"8,819","9,541","7,919","38,123","30,731"
,IV),,,,,
VI,Exceptional items,-,-,-,-,-
VII,Profit before tax (V-VI),"8,819","9,541","7,919","38,123","30,731"
VIII,Tax expense,"2,982","3,315","5,733","13,150","13,786"
,1. Current tax,"3,549","3,565","2,745","13,874","10,468"
,2. Deferred tax,(567),_5250],78,(724),408
,3. Relating to earlier years,-,-,"2,910",-,"2,910"
IX,Profit for the period (VII-VIII),"5,837","6,226","2,186","24,973","16,945"
X,Other Comprehensive Income,81,(37),_5if8],(181),(148)
,A (i) Items that will not be reclassified to profit orloss,208,(57),(226),(193),(226)
,(ii) Income tax relating to items that will not bereclassified to profit or loss,(71),20,78,68,78
,B (i) Items that will be reclassified to profit or loss,(86),"""",-,(86),-
,(ii) Income tax relating to items that will bereclassified to profit or loss,30,,,30,-
XI,Total Comprehensive Income (IX+X),"5,918","6,189","2,038","24,792","16,797"
XII,Earning per share (Rs.) - Basic(not annualised),66.02,70.42,24.73,282.45,191.65
XIII,Earning per share (Rs.) - Diluted(not annualised),66.02,70.42,24.73,282.45,191.65
