0,1,2,3,4,5,6,7,8
,,,,Standalone,,,"Consolitf^teyp,akhs",
51.,,,uarter Ended,Year,Ended,Year Ended,,
Particulars,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017,
NO.,,(Audited)#,(Unaudited),(Audited)#,(Audited),(Audited),(Audited),(Audited)
,,(D,(2),_(3}_,(4),_£L_,_,(7)
i,Revenue from operations(a) Sale of products,57016,60268,133615,284624,435944,285596,436981
,(b) Other operating revenues,141,928,792,3043,3628,3477,4206
,Total revenue from operations,57157,61196,134407,287667,439572,289073,441187
2,Other income,1470,836,572,5360,4709,5458,4723
3,Total income (1+2)_,58627,62032,134979,293027,444281,294531,445910
4,Expenses(a) Cost of materials consumed,13713,18119,15709,67133,59858,67240,59860
,(b) Purchases of stock-in-trade,9220,10309,23015,39145,55326,39185,55536
,"(c) Changes in inventories of finished goods,",2513,(525),16021,12845,11858,13004,11590
,stock in-trade and work-in-process(d) Excise duty,2828,3030,47334,56509,200923,56509,200923
,(e) Employee benefits expenses,4638,5318,4478,20940,23295,23898,26304
,(f) Finance costs,43,32,(14),151,345,167,356
,(g) Depreciation and amortisation expenses,2399,2466,2387,9565,9413,9843,9784
,(h) Advertising and sales promotion,3043,3471,3482,13140,13138,13183,13172
,(i) Other expenses,14144,12339,14208,52170,50348,50222,48491
,Total expenses,52541,54559,126620,271598,424504,273251,426016
5,Profit before exceptional items and tax (3-4),6086,7473,8359,21429,19777,21280,19894
6,Exceptional item (Note 2),-,2000,-,2000,-,2000,
7,Profit before tax (5+6),6086,9473,8359,23429,19777,23280,19894
8,Tax expense(a) Current tax,1565,3266,2261,7101,5136,7142,5291
,b) Deferred tax,210,8,515,252,1006,257,940
,Total tax expenses,1775,3274,2776,7353,6142,7399,6231
9,Profit for the period (7-8),4311,6199,5583,16076,13635,15881,13663
10,Share of profit of associates,,,,,,24,24
11,Profit after tax and share of profit of associates (9+10),4311,6199,5583,16076,13635,15905,13687
12,Other comprehensive incomeItems that will not to be reclassified to profit or loss(i) Profit /(Loss) on remeasurements of the,1176,(150),(318),726,(626),833,(748)
,defined benefit plans(ii) Changes in fair value of equity instruments,-,-,-,-,■,2241,298
,through other comprehensive income(iii) Tax relating to items that will not be,(407),52,110,(251),217,(814),188
,reclassified to profit or loss,,,,,,,
,"Total other comprehensive income, net of tax",769,(98),(208),475,(409),2260,(262)
13,Total comprehensive income for the period (11+12),5080,6101,5375,16551,13226,18165,13425
14,Profit for the period attributable to:,4311,6199,5583,16076,13635,15911,13723
,Owners of the CompanyNon controlling interest,,,(6),(36),,,
,,,,,,,,
,,4311,6199,5583,16076,13635,_15905,13687
15,Other comprehensive income for the period attributable to:,,,,,,,
,Owners of the Company,769,(98),(208),475,(409),2260,(262)
,,,,,,,,
,,----769,(98),(208),475,(409),2260,(262)
16,Total comprehensive income for the period attributable to:,5080,6101,5375,16551,13226,18171,13461
,Owners of the Company,,,,(6),(36),,
,,----5080,6101,5375,16551,13226,18165,13425
,,1040,1040,1040,1040,1040,1040,1040
17,Paid up equity share capital(Face value of Rs. 2 per share),,169688,158143,178295,165005,,
,,,,,,,,
,,,,,,,,
18,Reserves excluding revaluation reserves,8.29,11.92,10.74,30.92,26.22,30.59,26.32
19,Basic and diluted earnings per share (Rs.) (not annualised),,,,,,,
,# Refer Note 6,,,,,,,
