0,1,2,3,4,5
,Quarter ended,Year ended,,,
,31-03-2018,31-12-2017,31-03-2017,31-03-2018,31-03-2017
,Audited(Refer note 7),Unaudited,Audited(Refer note 7),Audited,Audited
1. Income from operations,,,,,
a) Net sale5/lncome from operations (Refer note 2),"2,530.90","2,892.44","2,608.51","11,004.44","10,637.08"
b) Other operating income,194.44,77.51,86.66,440.37,337.50
Total Income from operations,"2,725.34","2,969.95","2,695.17","11,444.81","10,974.58"
2. Other Income,62.88,40.94,21.19,334.88,129.85
3.    Total Income (1+2)4.    Expenses,"2,788.22","3,010.89","2,716.36","11,779.69","11,104.43"
a) Cost of materials consumed,762.19,908.78,801.16,"3,303.31","2,956.04"
b) Purchases of stock-in-trade,269.73,245.85,316.72,"1,064.23","1,128.99"
"c) Changes in inventories of finished goods,work-in-progress and stock-in-trade",(35.47),(112.07),(135.44),(212.05),56.27
d) Employee benefits expense,463.27,436.00,394.44,"1,785.94","1,728.97"
e) Finance costs,4.07,1.90,4.02,11.90,39.20
"f) Depreciation, impairment and amortisationexpense",132.97,137.88,125.17,529.61,499.97
g) Other expenses,842.27,811.99,874.75,"3,307.83","3,256.64"
h) Impairment of Investment,,,251.41,•,251.41
Total expenses,"2,439.03","2,430.33","2,632.23","9,790.77","9,917.49"
5. Profit (+)/loss (-) before exceptional Item and tax (3-4),349.19,580.56,84.13,"1,988.92","1,186.94"
6. Exceptional Item (Refer note 3),77.52,-,•,77.52,
7. Profit (+)/loss (-) before tax (5-6),271.67,580.56,84.13,"1,911.40","1,186.94"
8. Tax expense (net),,,,,
a) Current tax,62.76,157.14,91.30,431.33,311.06
b) Deferred tax,(15.90),4.88,(33.03),11.55,(99.06)
Total tax expense,46.86,162.02,58.27,442.88,212.00
9. Net profit (+)/loss (-) after tax (7-8),224.81,418.54,25.86,"1,468.52",974.94
10. Other comprehensive lncome/(loss) for the period/yeara) (1) Items that will not be reclassified toprofit or loss,(1.12),8.32,9.53,2.71,10.60
(ii) Income tax on items that will not bereclassified to profit or loss,0.39,(2.89),(3.30),(0.94),(3.67)
b) (i) Items that will be reclassified toprofit or loss,(8.95),7.64,-,0.72,-
(ii) Income tax on items that will bereclassified to profit or loss,3.10,(2.65),-,(0.25),-
Other comprehensive lncome/(loss) for the perlod/year,(6.58),10.42,6.23,2.24,6.93
11. Total comprehensive income/(loss) for theperlod/year (9+10),218.23,428.96,32.09,"1,470.76",981.87
12. Paid-up equity share capital (face valuef2/- each),161.02,160.99,160.90,161.02,160.90
13. Other equity,-,-,-,"13,952.50","12,639.61"
14. Earnings per share (face value Y 2/- each),,,,,
a) Basic (Y),•2.79,•5.20,*0.32,18.25,12.13
b) Diluted (Y),•2.79,•5.19,*0.32,18.22,12.11
•Not Annualised,,,,,
