0,1,2,3,4
Particulars,Nature of security,As at,As at,As at
,,"December 31, 2017","December 31, 2016","January 1, 2016"
Working,Pledge of Fixed Deposits,-,-,-
Capital,of'247.50 Million,,,
Facility -1,"(December 31, 2016 and2015:'10 Million)",,,
Working,Pledge of Fixed Deposits,11.27,-,12.97
Capital,of'71     Million,,,
Facility -2,"(December 31, 2016 and 2015:'433.76 Million) and hypothecation of stocks including loose tools, stores and spares, book debts.",,,
Working,Hypothecation of stocks,105.32,51.84,-
Capital,"including loose tools,",,,
Facility -3,"stores and spares, book debts.",,,
Total,,116.59,51.84,12.97
15 Trade Payables,,,,
,,As at,As at,As at
,,"December 31, 2017","December 31, 2016","January 1, 2016"
Total outstanding dues of micro,9.67,0.24,0.47,
