0,1,2,3
(v) Details of shareholders holding more than 5% shares in the Company,,,
,"December 31, 2017","December 31, 2016","January 01, 2016"
Equity Shares of Rs. 10 each fully paid,,,
"Hoechst GmbH, Germany",,,
- No of shares,"13,904,722","13,904,722","13,904,722"
- % of holding,60.37%,60.37%,60.37%
,,,(Rupees in Million)
18(b) -Share options outstanding account,,,
Particulars,,"December 31, 2017","December 31, 2016"
Opening balance,,185,122
Additions during the period,,71,63
Closing balance,,256,185
18(c) - Reserves and surplus,,,
Particulars,"December 31, 2017","December 31, 2016","January 01, 2016"
Securities premium reserve,20,20,20
Retained earnings,"16,304","14,941","13,759"
General reserve,"3,454","3,454","3,454"
Total,"19,778","18,415","17,233"
(i) Securities premium reserve,,,
Particulars,,"December 31, 2017","December 31, 2016"
Opening balance,,20,20
Closing balance,,20,20
(ii) Retained earnings,,,
Particulars,,"December 31, 2017","December 31, 2016"
Opening balance,,"14,941","13,759"
Profit for the year,,"3,260","3,042"
Other comprehensive income of the year,,(13),(58)
Interim dividend,,(415),(415)
Final dividend,,"(1,152)","(1,082)"
Dividend distribution tax,,(317),(305)
Closing balance,,"16,304","14,941"
