0,1,2
Particulars,2017,2016
Conveyance Charges,"31,402","28,627"
Vehicle Running Expenses,"12,975","60,620"
"Postage, Telegram & Courier Charges",-,"2,136"
Telephone & Mobile Charges,"12,903","21,123"
Printing & Stationery Charges,-,"3,69,750"
Auditors Remuneration,"29,500","28,625"
"Membership, Fees & Subscription",-,"25,000"
Office Expenses,"38,271","38,473"
"Rent, Rates & Taxes","1,17,509","1,44,795"
Repairs & Maintenance,-,"55,724"
Insurance Charges,-,"13,732"
Professional & Consultancy Charges,"1,00,816","1,07,361"
Commission,"2,869","18,083"
Listing Fees,"95,205","1,61,318"
Miscellaneous Expenses,"24,234","82,624"
Balances Written Off,-,"5,50,39,053"
Total,"4,65,684","5,61,97,045"
