0,1,2
,31 December 2017INR in Lacs,31 December 2016INR in Lacs
Interest Income on,,
- Bank Deposits,54.74,41.06
- Others,108.54,151.30
Dividend Income on Current Investments,796.85,"1,005.28"
Fair value gain on financial instruments at fair value through profit or loss (Refer Note (a) below),71.29,23.37
Gain on Current Investments measured at fair value through Profit and Loss,10.99,-
Provision for Sales Tax Written Back,2.37,79.20
Net Gain on disposal of Current Investments,-,9.52
Profit on Sale of Fixed Assets (Net),25.05,-
Other Non-Operating Income,288.16,446.76
,"1,357.99","1,756.49"
