0,1,2
,"Year ended 31st March, 2018","Year ended31st March, 2017"
Earnings Per Share has been computed as under:,,
Profit for the year attributable to the owners of the Company,"5,212","4,488"
Weighted average number of equity shares outstanding,"2,16,44,57,493","2,16,42,12,891"
Earnings Per Share (') - Basic (Face value of ' 1 per share),' 24.08,' 20.74
Add: Weighted average number of potential equity shares on account of employee stock,"4,66,552","4,25,681"
options/performance share schemes,,
Weighted average number of Equity shares (including dilutive shares) outstanding,"2,16,49,24,045","2,16,46,38,572"
Earnings Per Share (') - Diluted (Face value of ' 1 per share),' 24.07,' 20.73
B. From Discountinued operations,,
,Year ended,Year ended
,"31st March, 2018","31st March, 2017"
Earnings Per Share has been computed as under:,,
Profit/(Loss) for the year attributable to the owners of the Company,2,(12)
Weighted average number of equity shares outstanding,"2,16,44,57,493","2,16,42,12,891"
Earnings Per Share (') - Basic (Face value of ' 1 per share),' 0.01,' (0.06)
Add: Weighted average number of potential equity shares on account of employee stock,"4,66,552","4,25,681"
options/performance share schemes,,
Weighted average number of Equity shares (including dilutive shares) outstanding,"2,16,49,24,045","2,16,46,38,572"
Earnings Per Share (') - Diluted (Face value of ' 1 per share),' 0.01,' (0.06)
