0,1,2,3,4
14,Other financial liabilities,,,('Million)
,Particulars,As at,As at^,As aP
,,"December 31, 2017","December 31, 2016","January 1, 2016"
A,Non-current,,,
,Capital creditors,-,1.86,3.39
,Foreign currency derivative liabilities,3.40,0.19,23.81
,Accrued expenses,2.21,1.95,1.54
,,5.61,4.00,28.74
B,Current,,,
,Unclaimed dividend *,150.26,137.66,119.92
,Capital creditors,120.48,392.34,340.63
,Deposit received from customer,0.03,0.03,-
,Employee liabilities,342.38,294.92,265.51
,Foreign currency derivative liabilities,4.49,1.80,15.34
,,617.64,826.75,741.40
,*There is no amount due and outstanding to be credited to Investor Education and Protection Fund.,,,
15,Trade and other payables,,,
,Trade payables,493.36,"1,241.22","1,355.22"
,Accrued expenses,327.54,284.49,240.92
,,820.90,"1,525.71","1,596.14"
16,Other liabilities,,,
,Current,,,
,Unearned revenues,5.49,9.60,25.54
,Statutory liabilities,144.27,136.64,147.14
,,149.76,146.24,172.68
17,Provisions - Others,,,('Million)
,Particulars,,As at^,As atl
,,,"December 31, 2017","December 31, 2016"
,Provision at the beginning of the year,,86.67,-
,Provision made during the year,,-,90.00
,Paid during the year,,(51.37),-
,Adjusted during the year,,(29.48),(3.33)
,Provision at the end of the year,,5.82,86.67
