0,1,2,3,4
(? in Crores)Non-Current                         CurrentAs at           As at             As at           As at31.03.2018      31.03.2017        31.03.2018      31.03.2017,,,,
(a) Current maturities of Long-term debt(Refer Note 15),-,-,1.42,1.98
(b) Investor Education and Protection Fund#,,,,
(i) Unpaid/Unclaimed dividend,-,-,14.11,11.51
(ii) Unclaimed amount of sale proceeds of fractional coupons of bonus shares issued in earlieryears,-,-,0.04,0.04
,-,-,14.15,11.55
(c) Others,,,,
Retention monies relating to capital expenditure,0.65,2.31,75.26,29.59
Payable towards capital expenditure,-,-,204.63,40.74
Payable towards services received,-,-,270.04,205.63
"Payable towards stores, sparesand consumables",-,-,8.24,37.93
"Payable to employees[including ?4.5 crores due to Managing Director (asat 31stMarch, 2017 ? 4.5 crores)]",,,128.04,130.17
"Payable towards other expenses[including ? 3.90 crores due to Non-Executive Directors (asat 31stMarch, 2017 ? 3.65 crores)]",,,506.78,419.96
Forward exchange contract (Net),-,-,-,2.44
,0.65,2.31,"1,192.99",866.46
TOTAL,0.65,2.31,"1,208.56",879.99
