0,1,2
,"Year endedDecember 31, 2017","Year endedDecember 31, 2016"
,,
"Interest on bank deposits, IT refunds, delayed payments from dealers/ customers, etc.",113.92,164.57
Dividend income from associate,22.42,22.05
Sundry credit balances and provisions no longer required written back,119.90,37.56
"Profit on disposal of property, plant and equipment",-,1.64
Net gains/ losses on foreign currency transactions and translations,37.26,0.21
Fair value gains in derivative financial instruments,-,16.25
Other income,23.57,19.51
Total,317.07,261.79
Cost of materials consumed,,
,Year ended,Year ended
,"December 31, 2017","December 31, 2016"
Opening stock,590.59,408.80
Add: Purchases,"4,377.83","3,776.99"
Less: Closing stock,666.07,590.59
Total,"4,302.35","3,595.20"
Purchases of stock in trade,,
,Year ended,Year ended
,"December 31, 2017","December 31, 2016"
Purchases of stock in trade,642.37,392.73
Total,642.37,392.73
