0,1,2,3
,Computer Software,Transferable DevelopmentÂ Rights,Total
Gross carrying amount,,,
"Balance as at 1st April, 2016",52.91,-,52.91
Additions,-,-,-
Disposals,-,-,-
"Balance as at 31st March, 2017",52.91,-,52.91
Additions (Refer note below),-,5002.25,5002.25
Disposals,-,-,-
"Balance as at 31st March, 2018",52.91,5002.25,5055.16
,,,
Accumulated amortisation,,,
"Balance as at 1st April, 2016",52.91,,52.91
Additions,-,,-
Disposals,-,,-
"Balance as at 31st March, 2017",52.91,,52.91
Additions,-,,-
Disposals,-,,-
"Balance as at 31st March, 2018",52.91,,52.91
,,,
Net carrying amount,,,
"Balance as at 31st March, 2017",-,-,-
"Balance as at 31st March, 2018",-,5002.25,5002.25
