0,1,2,3
,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Capital Advances,31.70,296.25,74.71
Advances other than capital advances,,,
Prepaid expenses,1.44,1.47,0.33
Balances with government authorities,,,
Considered good,372.49,255.78,267.53
Considered doubtful,6.25,6.25,4.64
,378.74,262.03,272.17
Less: Provision for doubtful,(6.25),(6.25),(4.64)
loans and advances,,,
,372.49,255.78,267.53
Total,405.63,553.50,342.57
11 Other current assets,,,
,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Prepaid expenses,5.93,4.68,5.26
Balances with government authorities,,,
- current,,,
Considered good,158.86,192.64,131.96
Considered doubtful,7.48,4.06,-
,166.34,196.70,131.96
Less: Provision for doubtful,(7.48),(4.06),-
loans and advances,,,
,158.86,192.64,131.96
Others*,,,
Considered good,200.44,170.91,112.33
Considered doubtful,11.59,11.59,5.47
,212.03,182.50,117.80
Less: Provision for doubtful loans and,(11.59),(11.59),(5.47)
advances,,,
,200.44,170.91,112.33
Total,365.23,368.23,249.55
