0,1,2,3,4,5,6,7,8,9,10
Particulars,Freehold land,Leasehold land,Leasehold Improvement,Buildings,Plant & Machinery,Computers,Vehicles,Furniture & fixtures,Office equipments,Total
Gross Block,,,,,,,,,,
At 1 January 2016 (Deemed Cost),690.00,"2,249.23",2.24,"10,302.60","37,182.76",364.58,177.27,690.25,359.14,"52,018.07"
Additions,-,-,-,243.18,"1,219.81",299.76,8.35,167.33,62.88,"2,001.31"
Disposals,-,-,-,2.57,73.54,2.08,27.49,8.69,0.92,115.29
At 31 December 2016,690.00,"2,249.23",2.24,"10,543.21","38,329.03",662.26,158.13,848.89,421.10,"53,904.09"
Additions,-,19.32,-,199.78,"4,954.64",130.91,28.96,354.77,90.04,"5,778.42"
Disposals,-,-,1.05,0.03,21.91,3.57,8.48,2.35,3.49,40.88
At 31 December 2017,690.00,"2,268.55",1.19,"10,742.96","43,261.76",789.60,178.61,"1,201.31",507.65,"59,641.63"
Accumulated depreciation,,,,,,,,,,
At 1 January 2016,-,-,-,-,-,-,-,-,-,-
Additions,-,111.10,1.80,"1,183.87","7,038.28",212.14,49.67,148.51,128.88,"8,874.25"
Disposals,-,-,-,0.22,15.03,0.37,4.22,2.07,0.43,22.34
At 31 December 2016,-,111.10,1.80,"1,183.65","7,023.25",211.77,45.45,146.44,128.45,"8,851.91"
Additions,-,8.62,0.19,"1,071.33","6,530.72",228.67,42.79,168.21,126.41,"8,176.94"
Disposals,-,-,1.05,0.01,13.30,2.52,5.93,2.03,3.40,28.24
At 31 December 2017,-,119.72,0.94,"2,254.97","13,540.67",437.92,82.31,312.62,251.46,"17,000.61"
Net Book Value,,,,,,,,,,
At 31 December 2017,690.00,"2,148.83",0.25,"8,487.99","29,721.09",351.68,96.30,888.69,256.19,"42,641.02"
At 31 December 2016,690.00,"2,138.13",0.44,"9,359.56","31,305.78",450.49,112.68,702.45,292.65,"45,052.18"
At 1 January 2016,690.00,"2,249.23",2.24,"10,302.60","37,182.76",364.58,177.27,690.25,359.14,"52,018.07"
