0,1,2,3
Movement in provisions,,,
,,Provision for,Other
,,warranties,provisions
"As at January 1, 2017",,,
Balance at the beginning,,77.42,57.74
Charged/(Credited) to profit or loss,,,
Additional provision recognised,,81.68,69.90
Unused amounts reversed,,(34.05),(57.74)
Amounts used during the year,,(43.37),-
"As at December 31, 2017",,81.68,69.90
18 Other Current liabilities,,,
,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Statutory dues,13.28,140.25,116.68
Advances from customers,499.90,457.22,529.53
Total,513.18,597.47,646.21
