0,1,2,3,4
Undiscounted,,,,
Particulars,Carrying,Payable within,More than one,Total
,amount,one year,year to 5 years,
As at 31 December 2017,,,,
Borrowings (Long Term),"39,423.65",-,"39,453.27","39,453.27"
Other Financial Liabilities (Non-Current),164.62,-,164.62,164.62
Trade Payables,"36,539.59","36,539.59",-,"36,539.59"
Retention Money Payable (Current),668.40,668.40,-,668.40
Current Maturity of Long Term Borrowings,"1,150.16","1,164.34",-,"1,164.34"
Other Financial Liabilities (Current),"5,064.62","5,064.62",-,"5,064.62"
As at 31 December 2016,,,,
Borrowings (Long Term),"40,762.61",-,"40,820.66","40,820.66"
Other Financial Liabilities (Non-Current),148.48,-,148.48,148.48
Borrowings (Current),17.54,17.54,-,17.54
Trade Payables,"32,579.08","32,579.08",-,"32,579.08"
Retention Money Payable (Current),"6,132.34","6,330.05",-,"6,330.05"
Current Maturity of Long Term Borrowings,"2,768.39","2,789.64",-,"2,789.64"
Other Financial Liabilities (Current),"4,675.16","4,675.16",-,"4,675.16"
As at 1 January 2016,,,,
Borrowings (Long Term),"43,427.00",-,"43,520.56","43,520.56"
Retention Money Payable (Non-Current),"3,342.34",-,"3,540.05","3,540.05"
Other Financial Liabilities (Non-Current),106.07,-,106.07,106.07
Borrowings (Current),"5,156.23","5,156.23",-,"5,156.23"
Trade Payables,"28,673.51","28,673.51",-,"28,673.51"
Retention Money Payable (Current),"2,465.72","2,790.00",-,"2,790.00"
Current Maturity of Long Term Borrowings,"4,165.99","4,187.24",-,"4,187.24"
Other Financial Liabilities (Current),"4,649.34","4,649.34",-,"4,649.34"
