0,1,2,3,4
,Matters in Appeal - Duty,535.84,615.03,625.85
,Matters in Appeal - Penalties,443.57,441.57,418.87
,Show cause Notices - Duty,25.98,25.98,44.73
b.,Service Tax,,,
,Matters in Appeal - Tax,87.07,81.32,32.67
,Matters in Appeal - Penalties,56.13,53.05,12.92
,Show cause Notices - Duty,13.78,18.01,72.71
c.,Custom Duty,,,
,Matters in Appeal - Duty,38.59,21.23,10.18
d.,Income Tax Demands in Appeal,"1,359.94","1,293.77",521.21
e.,Sales Tax Demands in Appeal,106.28,106.73,515.06
f.,Others,66.16,65.18,65.18
